1,ua_22_1,1.0,Спрощена заява на реєстрацію гомеопатичного ветеринарного лікарського засобу (стаття 17 Директиви № 2001/82/ЄС),4,MarketingAuthorisationApplicationLegalBasis
2,ua_22_2,1.0,Ліцензія відповідно до статті 5(1) Директиви 2001/83/ЄC,1,MarketingAuthorisationApplicationLegalBasis
3,ua_22_3,1.0,Повідомлення про паралельний імпорт відповідно до статті 76(4) Директиви 2001/83/ЄС,1,MarketingAuthorisationApplicationLegalBasis
4,ua_22_4,1.0,Наявна відповідно до статті 83(2) Регламенту (ЄС) № 726/2004,1,MarketingAuthorisationApplicationLegalBasis
5,ua_22_5,1.0,Ліцензія відповідно до статті 5(2) Директиви 2001/83/ЄC,1,MarketingAuthorisationApplicationLegalBasis
6,ua_22_6,1.0,Повідомлено про паралельний імпорт відповідно до статті 76(3) Директиви 2001/83/ЄС,1,MarketingAuthorisationApplicationLegalBasis
7,ua_22_7,1.0,Відома допоміжна лікарська речовина, отримана з крові/плазми людини (стаття 52 (9) Регламенту (ЄС) 2017/745),1,MarketingAuthorisationApplicationLegalBasis
8,ua_22_8,1.0,Невідома допоміжна лікарська речовина (отримана не з крові/плазми людини) (стаття 52 (9) Регламенту (ЄС) 2017/745),1,MarketingAuthorisationApplicationLegalBasis
9,ua_22_9,1.0,Відома допоміжна лікарська речовина (отримана не з крові/плазми людини) (стаття 52 (9) Регламенту (ЄС) 2017/745,1,MarketingAuthorisationApplicationLegalBasis
10,ua_22_10,1.0,Невідома допоміжна лікарська речовина, отримана з крові/плазми людини (стаття 52 (9) Регламенту (ЄС) 2017/745),1,MarketingAuthorisationApplicationLegalBasis
11,ua_22_11,1.0,Супутня діагностика (стаття 48 (3), (4), (7), (8) Регламенту (ЄС) 2017/746),1,MarketingAuthorisationApplicationLegalBasis
12,ua_22_12,1.0,Медичний виріб, що складається з речовини або комбінацій речовин (стаття 52 (11) Регламенту (ЄС) 2017/745),1,MarketingAuthorisationApplicationLegalBasis
13,ua_22_13,1.0,Ліцензії на тимчасове застосування (стаття 8 Директиви № 2001/82/ЄС),3,MarketingAuthorisationApplicationLegalBasis
14,ua_22_14,1.0,Повна заява - відома діюча речовина (стаття 8 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
15,ua_22_15,1.0,Генерична заява (стаття 18 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
16,ua_22_16,1.0,Комбіновані ветеринарні лікарські засоби (стаття 20 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
17,ua_22_17,1.0,Заява на отримання інформованої згоди (стаття 21 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
18,ua_22_18,1.0,Дозвіл на національне застосування через ситуацію в сфері охорони здоров’я (стаття 116 Регламенту (ЄС) 2019/6),3,MarketingAuthorisationApplicationLegalBasis
19,ua_22_19,1.0,Гомеопатичні лікарські засоби (стаття 19 Директиви № 2001/82/ЄС),3,MarketingAuthorisationApplicationLegalBasis
20,ua_22_20,1.0,Правова основа не охоплюється Директивою 2001/82/ЄC,3,MarketingAuthorisationApplicationLegalBasis
21,ua_22_21,1.0,Правова база переглянута відповідно до Acquis communautaire,1,MarketingAuthorisationApplicationLegalBasis
22,ua_22_22,1.0,Повна заява - нова діюча речовина (стаття 8 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
23,ua_22_23,1.0,Гібридна заява - зміна діючої(их) речовин(и) (стаття 19(1)(a) Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
24,ua_22_24,1.0,Бібліографічна заява (стаття 22 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
25,ua_22_25,1.0,Заяви на отримання дозволу для виходу на обмежені ринки (стаття 23 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
26,ua_22_26,1.0,Заяви на отримання дозволу за виняткових обставин (стаття 25 Регламенту (ЄС) 2019/6),1,MarketingAuthorisationApplicationLegalBasis
