no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,AgeRange,2024-09-20T10:37:25.907,2024-09-20T10:37:25.944,200000000326,6,1,Усі,All,ua_70_1,false,null,null,null
2,1.0,AgeRange,2024-09-20T10:37:25.946,2024-09-20T10:37:25.949,200000000327,4,1,Доросла тварина,Adult animal,ua_70_2,false,null,null,null
3,1.0,AgeRange,2024-09-20T10:37:25.951,2024-09-20T10:37:25.954,200000000328,5,1,Молода тварина,Young animal,ua_70_3,false,null,null,null
4,1.0,AgeRange,2024-09-20T10:37:25.956,2024-09-20T10:37:25.994,200000000329,5,1,Ембріональне яйце,Embryonated egg,ua_70_4,false,null,null,null
5,1.0,AgeRange,2024-09-20T10:37:25.996,2024-09-20T10:37:25.999,200000000330,3,1,Молода тварина/Новонароджений,Young animal/Newborn,ua_70_5,false,null,null,null
6,1.0,AgeRange,2024-09-20T10:37:26.001,2024-09-20T10:37:26.003,200000000331,5,1,Яйце,Egg,ua_70_6,false,null,null,null
7,1.0,AgeRange,2024-09-20T10:37:26.005,2024-09-20T10:37:26.008,200000030426,3,1,Дорослі (від 75 до < 85 років),Adults (75 to < 85 years),ua_70_7,false,null, ,null
8,1.0,AgeRange,2024-09-20T10:37:26.010,2024-09-20T10:37:26.012,200000030423,3,1,Дорослі (від 18 до <46 років),Adults (18 to < 46 years),ua_70_8,false,null,null,null
9,1.0,AgeRange,2024-09-20T10:37:26.014,2024-09-20T10:37:26.017,200000030424,3,1,Дорослі (від 46 до < 65 років),Adults (46 to < 65 years),ua_70_9,false,null,null,null
10,1.0,AgeRange,2024-09-20T10:37:26.018,2024-09-20T10:37:26.021,200000030425,3,1,Дорослі (від 65 до < 75 років),Adults (65 to < 75 years),ua_70_10,false,null,null,null
11,1.0,AgeRange,2024-09-20T10:37:26.023,2024-09-20T10:37:26.025,200000030427,3,1,Дорослі (85 років і старше),Adults (85 years and over),ua_70_11,false,null,null,null
12,1.0,AgeRange,2024-09-20T10:37:26.027,2024-09-20T10:37:26.029,100000000029,6,1,Внутрішньоутробно,In utero,ua_70_12,false,Внутрішньоутробно,In utero,Будь-яка людина до народження.
13,1.0,AgeRange,2024-09-20T10:37:26.031,2024-09-20T10:37:26.033,100000000030,7,1,Недоношені новонароджені (0 – 27 днів),Preterm newborn infants (0 – 27 days),ua_70_13,false,Недоношені новонароджені,Preterm newborn infants,Недоношена дитина - це дитина, яка народилася до 37 тижнів вагітності. Новонароджена дитина - це дитина віком від 0 до 27 днів. Правовою підставою для цього терміну є Настанови CPMP/ICH/2711/99, липень 2000 р. ICH E11 та ICH E2B(R2).
14,1.0,AgeRange,2024-09-20T10:37:26.035,2024-09-20T10:37:26.037,100000000031,9,1,Доношені новонароджені (0 – 27 днів),Term newborn infants (0 – 27 days),ua_70_14,false,Доношені новонароджені,Term newborn infants,Доношена дитина - це дитина, яка народилася між 37 і 42 тижнями вагітності. Новонароджена дитина - це дитина віком від 0 до 27 днів. Правовою основою для цього терміну є настанови CPMP/ICH/2711/99, липень 2000 р. ICH E11 та ICH E2B(R2). (*Комітет патентованих лікарських засобів Європейського агентства з лікарських засобів (CPMP), Міжнародна рада з гармонізації технічних вимог до лікарських засобів для людини (ICH))
15,1.0,AgeRange,2024-09-20T10:37:26.039,2024-09-20T10:37:26.042,100000000032,7,1,Немовлята та малюки (28 днів – 23 місяці),Infants and toddlers (28 days – 23 months),ua_70_15,false,Немовлята та малюки,Infants and toddlers,Будь-яка людина у віці від 28 днів до 23 місяців (до дня 2-річчя). Правовою основою для цього терміну є настанови CPMP/ICH/2711/99 Jul 2000 ICH E11 та ICH E2B(R2). Для інформації, немовля визначається як людська дитина на наймолодшому етапі життя, особливо до того, як вона навчилася ходити, або просто дитина у віці до одного року. Досить часто дітей називають немовлятами до досягнення ними однорічного віку. Немовлят традиційно називають "малюками", коли вони починають ходити, незалежно від того, досягли вони цього віку чи ні.
16,1.0,AgeRange,2024-09-20T10:37:26.044,2024-09-20T10:37:26.046,100000000033,7,1,Діти (від 2 до <12 років),Children (2 to < 12 years),ua_70_16,false,Діти,Children,Будь-яка людина у віці від 2 до 11 років (до дня 12-річчя). Правовою основою для назви цього терміну є настанови CPMP/ICH/2711/99, липень 2000 р. ICH E11 та ICH E2B(R2).
