no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"8746","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8747","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8748","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8749","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8750","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8751","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8752","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8753","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8754","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8755","1.0","Atc","2025-04-04T14:21:38.934","2025-04-04T14:21:38.934",null,"1","1",null,null,null,"false",null,null,null
"8756","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8757","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8758","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8759","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8760","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8761","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8762","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8763","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8764","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8765","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8766","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8767","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8768","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8769","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8770","1.0","Atc","2025-04-04T14:21:38.935","2025-04-04T14:21:38.935",null,"1","1",null,null,null,"false",null,null,null
"8771","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8772","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8773","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8774","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8775","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8776","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8777","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8778","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
"8779","1.0","Atc","2025-04-04T14:21:38.936","2025-04-04T14:21:38.936",null,"1","1",null,null,null,"false",null,null,null
