no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","1.0","Atc","2024-11-28T15:49:21.215","2024-11-28T15:49:21.215","100000093554","1","1",ЗАСОБИ, ЩО ВПЛИВАЮТЬ НА ТРАВНУ СИСТЕМУ І МЕТАБОЛІЗМ,"ALIMENTARY TRACT AND METABOLISM","ua_4_1","false",null,null,null
"2","1.0","Atc","2024-11-28T15:49:21.215","2024-11-28T15:49:21.215","100000093555","1","1",ЗАСОБИ ДЛЯ ЗАСТОСУВАННЯ В СТОМАТОЛОГІЇ,"STOMATOLOGICAL PREPARATIONS","ua_4_2","false",null,null,null
"3","1.0","Atc","2024-11-28T15:49:21.215","2024-11-28T15:49:21.215","100000093557","1","1",Засоби для профілактики карієсу,"Caries prophylactic agents","ua_4_3","false",null,null,null
"4","1.0","Atc","2024-11-28T15:49:21.215","2024-11-28T15:49:21.215","100000093558","1","1",натрію фторид,"sodium fluoride","ua_4_4","false",null,null,null
"5","1.0","Atc","2024-11-28T15:49:21.215","2024-11-28T15:49:21.215","100000093559","1","1",натрій монофторфосфат,"sodium monofluorophosphate","ua_4_5","false",null,null,null
"6","1.0","Atc","2024-11-28T15:49:21.215","2024-11-28T15:49:21.215","100000093560","1","1",олафлур,"olaflur","ua_4_6","false",null,null,null
"7","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093561","1","1",олова фторид,"stannous fluoride","ua_4_7","false",null,null,null
"8","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093562","1","1",комбінації,"combinations","ua_4_8","false",null,null,null
"9","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093563","1","1",натрій фторид, комбінації,"sodium fluoride, combinations","ua_4_9","false",null,null,null
"10","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093556","1","1",ЗАСОБИ ДЛЯ ЗАСТОСУВАННЯ В СТОМАТОЛОГІЇ,"STOMATOLOGICAL PREPARATIONS","ua_4_10","false",null,null,null
"11","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093564","1","1",Протимікробні та антисептичні препарати для місцевого застосування в стоматології,"Antiinfectives and antiseptics for local oral treatment","ua_4_11","false",null,null,null
"12","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093565","1","1",перекис водню,"hydrogen peroxide","ua_4_12","false",null,null,null
"13","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093566","1","1",хлоргексидин,"chlorhexidine","ua_4_13","false",null,null,null
"14","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093567","1","1",амфотерицин В,"amphotericin B","ua_4_14","false",null,null,null
"15","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093568","1","1",поліноксилін,"polynoxylin","ua_4_15","false",null,null,null
"16","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093569","1","1",доміфен,"domiphen","ua_4_16","false",null,null,null
"17","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093570","1","1",оксихінолін,"oxyquinoline","ua_4_17","false",null,null,null
"18","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093571","1","1",неоміцин,"neomycin","ua_4_18","false",null,null,null
"19","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093572","1","1",міконазол,"miconazole","ua_4_19","false",null,null,null
"20","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093573","1","1",натаміцин,"natamycin","ua_4_20","false",null,null,null
"21","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093574","1","1",різні препарати,"various","ua_4_21","false",null,null,null
"22","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093575","1","1",гексетидин,"hexetidine","ua_4_22","false",null,null,null
"23","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093576","1","1",тетрациклін,"tetracycline","ua_4_23","false",null,null,null
"24","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093577","1","1",бензоксоній хлорид,"benzoxonium chloride","ua_4_24","false",null,null,null
"25","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093578","1","1",тибезоній йодид,"tibezonium iodide","ua_4_25","false",null,null,null
"26","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093579","1","1",мепартрицин,"mepartricin","ua_4_26","false",null,null,null
"27","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093580","1","1",метронідазол,"metronidazole","ua_4_27","false",null,null,null
"28","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093581","1","1",клотримазол,"clotrimazole","ua_4_28","false",null,null,null
"29","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093582","1","1",натрій перборат,"sodium perborate","ua_4_29","false",null,null,null
"30","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093583","1","1",хлортетрациклін,"chlortetracycline","ua_4_30","false",null,null,null
"31","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093584","1","1",доксициклін,"doxycycline","ua_4_31","false",null,null,null
"32","1.0","Atc","2024-11-28T15:49:21.216","2024-11-28T15:49:21.216","100000093585","1","1",міноциклін,"minocycline","ua_4_32","false",null,null,null
"33","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217",null,"1","1",октенідин,"octenidine","ua_4_33","false",null,null,null
"34","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217",null,"1","1",окситетрациклін,"oxytetracycline","ua_4_34","false",null,null,null
"35","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217",null,"1","1",хлоргексидин та цетилпіридиній,"chlorhexidine and cetylpyridinium","ua_4_35","false",null,null,null
"36","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093586","1","1",Кортикостероїди для місцевого застосування в стоматології,"Corticosteroids for local oral treatment","ua_4_36","false",null,null,null
"37","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093587","1","1",тріамцинолон,"triamcinolone","ua_4_37","false",null,null,null
"38","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093588","1","1",дексаметазон,"dexamethasone","ua_4_38","false",null,null,null
"39","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093589","1","1",гидрокортизон,"hydrocortisone","ua_4_39","false",null,null,null
"40","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217",null,"1","1",преднізолон,"prednisolone","ua_4_40","false",null,null,null
"41","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093590","1","1",преднізолон, комбінації,"prednisolone, combinations","ua_4_41","false",null,null,null
"42","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093534","1","1",Інші засоби для місцевого застосування в стоматології,"Other agents for local oral treatment","ua_4_42","false",null,null,null
"43","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093535","1","1",епінефрин,"epinephrine","ua_4_43","false",null,null,null
"44","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093536","1","1",бензидамін,"benzydamine","ua_4_44","false",null,null,null
"45","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093537","1","1",кислота ацетилсаліцилова,"acetylsalicylic acid","ua_4_45","false",null,null,null
"46","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093538","1","1",адреналон,"adrenalone","ua_4_46","false",null,null,null
"47","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093539","1","1",амлексанокс,"amlexanox","ua_4_47","false",null,null,null
"48","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000116198","1","1",бекаплермін,"becaplermin","ua_4_48","false",null,null,null
"49","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093540","1","1",інші,"various","ua_4_49","false",null,null,null
"50","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093541","1","1",ЗАСОБИ ДЛЯ ЛІКУВАННЯ КИСЛОТОЗАЛЕЖНИХ ЗАХВОРЮВАНЬ,"DRUGS FOR ACID RELATED DISORDERS","ua_4_50","false",null,null,null
"51","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093543","1","1",Сполуки магнію,"Magnesium compounds","ua_4_51","false",null,null,null
"52","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093544","1","1",магнію карбонат,"magnesium carbonate","ua_4_52","false",null,null,null
"53","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093545","1","1",магнію оксид,"magnesium oxide","ua_4_53","false",null,null,null
"54","1.0","Atc","2024-11-28T15:49:21.217","2024-11-28T15:49:21.217","100000093546","1","1",магнію пероксид,"magnesium peroxide","ua_4_54","false",null,null,null
