no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,1,1,1,"Введення додаткового виробника","Addition of manufacturer",ua_78_1,false,null,null,"null"
2,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,2,1,1,"Введення додаткової дільниці","Addition of manufacturing site",ua_78_2,false,null,null,"null"
3,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,3,1,1,"Введення додаткової упаковки","Addition of packaging",ua_78_3,false,null,null,"null"
4,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,4,1,1,"Введення додаткових дозуючих пристроїв","Addition of dosing devices",ua_78_4,false,null,null,"null"
5,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,5,1,1,"Вилучення виробника","Removal of manufacturer",ua_78_5,false,null,null,"null"
6,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,6,1,1,"Вилучення виробничої дільниці","Removal of manufacturing site",ua_78_6,false,null,null,"null"
7,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,7,1,1,"Вилучення упаковки","Removal of packaging",ua_78_7,false,null,null,"null"
8,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,8,1,1,"Зміна адреси заявника/виробника","Change of applicant/manufacturer address",ua_78_8,false,null,null,"null"
9,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,9,1,1,"Зміна адреси заявника","Change of applicant address",ua_78_9,false,null,null,"null"
10,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,10,1,1,"Зміна адреси виробника","Change of manufacturer address",ua_78_10,false,null,null,"null"
11,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,11,1,1,"Зміна назви заявника/виробника","Change of applicant/manufacturer name",ua_78_11,false,null,null,"null"
12,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,12,1,1,"Зміна назви заявника","Change of applicant name",ua_78_12,false,null,null,"null"
13,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,13,1,1,"Зміна назви виробника","Change of manufacturer name",ua_78_13,false,null,null,"null"
14,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,14,1,1,"Зміна назви лікарського засобу","Change of medicinal product name",ua_78_14,false,null,null,"null"
15,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,15,1,1,"Зміна категорії відпуску","Change of dispensing category",ua_78_15,false,null,null,"null"
16,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,16,1,1,"Зміна комплектації упаковки","Change of packaging configuration",ua_78_16,false,null,null,"null"
17,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,17,1,1,"Зміна коду АТХ","Change of ATC code",ua_78_17,false,null,null,"null"
18,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,18,1,1,"Зміна лікарської форми","Change of dosage form",ua_78_18,false,null,null,"null"
19,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,19,1,1,"Зміна опису упаковки","Change of packaging description",ua_78_19,false,null,null,"null"
20,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,20,1,1,"Зміна періоду ретестування","Change of retest period",ua_78_20,false,null,null,"null"
21,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,21,1,1,"Зміна розміру упаковки","Change of packaging size",ua_78_21,false,null,null,"null"
22,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,22,1,1,"Зміна складу лікарського засобу","Change of medicinal product composition",ua_78_22,false,null,null,"null"
23,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,23,1,1,"Зміна складу лікарського засобу (допоміжні)","Change of medicinal product composition (excipients)",ua_78_23,false,null,null,"null"
24,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,24,1,1,"зміна терміну придатності","Change of shelf life",ua_78_24,false,null,null,"null"
25,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,25,1,1,"Зміни до інструкції","Changes to instructions",ua_78_25,false,null,null,"null"
26,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,26,1,1,"Зміни у терапевтичних показаннях","Changes in therapeutic indications",ua_78_26,false,null,null,"null"
27,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,27,1,1,"Реєстрація додаткової упаковки","Registration of additional packaging",ua_78_27,false,null,null,"null"
28,1.0,AuthorisationTerminationReasons,2024-10-27T12:00:00,2024-10-27T12:00:00,28,1,1,"Уточнення функцій виробників","Clarification of manufacturers functions",ua_78_28,false,null,null,"null"
