no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","1.0","CombinationPackage","2023-10-10T19:35:24.466","2024-09-23T15:26:42.686","100000173972","88","1","Крем + песарій","Cream + pessary","ua_7_1","false",null,null,"Комбінована упаковка, що складається з крему та песарію."
"2","1.0","CombinationPackage","2023-10-10T19:35:24.574","2024-09-23T15:26:42.794","100000173973","84","1","Розчин нашкірний + губка лікувальна","Cutaneous solution + medicated sponge","ua_7_2","false",null,null,"Комбінована упаковка, що складається з розчину нашкірного та губки лікувальної."
"3","1.0","CombinationPackage","2023-10-10T19:35:25.443","2024-09-23T15:26:42.799","100000173974","88","1","Таблетка кишковорозчинна (гастрорезистента) + суспензія ректальна","Gastro-resistant tablet + rectal suspension","ua_7_3","false",null,null,"Комбінована упаковка, що складається з таблетки кишковорозчинної (гастрорезистентної) та суспензії ректальної."
"4","1.0","CombinationPackage","2023-10-10T19:35:25.514","2024-09-23T15:26:42.803","100000173975","87","1","Капсула вагінальна, м'яка + крем вагінальний","Vaginal capsule, soft + vaginal cream","ua_7_4","false",null,null,"Комбінована упаковка, що складається з капсули вагінальної, м’якої, та крему вагінального."
"5","1.0","CombinationPackage","2023-10-10T19:35:25.585","2024-09-23T15:26:42.806","100000173976","87","1","Крем вагінальний + таблетка вагінальна","Vaginal cream + vaginal tablet","ua_7_5","false",null,null,"Комбінована упаковка, що складається з крему вагінального та таблетки вагінальної."
"6","1.0","CombinationPackage","2023-10-10T19:35:25.601","2024-09-23T15:26:42.810","100000173977","86","1","Шипучі гранули + таблетка, вкрита оболонкою","Effervescent granules + film-coated tablet","ua_7_6","false",null,null,"Комбінована упаковка, що складається з гранул шипучих і таблетки, вкритої плівковою оболонкою."
"7","1.0","CombinationPackage","2023-10-10T19:35:25.619","2024-09-23T15:26:42.814","100000173978","86","1","Таблетка шипуча + таблетка, вкрита плівковою оболонкою","Effervescent tablet + film-coated tablet","ua_7_7","false",null,null,"Комбінована упаковка, що складається з таблетки шипучої та таблетки, вкритої плівковою оболонкою."
"8","1.0","CombinationPackage","2023-10-10T19:35:25.634","2024-09-23T15:26:42.818","100000173979","88","1","Таблетка + таблетка вагінальна","Tablet + vaginal tablet","ua_7_8","false",null,null,"Комбінована упаковка, що складається з таблетки та таблетки вагінальної."
"9","1.0","CombinationPackage","2023-10-10T19:35:25.652","2024-09-23T15:26:42.822","100000173980","89","1","Крем + капсула вагінальна, м'яка","Cream + vaginal capsule, soft","ua_7_9","false",null,null,"Комбінована упаковка, що складається з крему та капсули вагінальної, м’якої."
"10","1.0","CombinationPackage","2023-10-10T19:35:25.668","2024-09-23T15:26:42.825","100000173981","89","1","Крем + таблетка вагінальна","Cream + vaginal tablet","ua_7_10","false",null,null,"Комбінована упаковка, що складається з крему та таблетки вагінальної."
"11","1.0","CombinationPackage","2023-10-10T19:35:25.687","2024-09-23T15:26:42.836","200000010779","65","1","Мазь + таблетка вагінальна","Ointment + vaginal tablet","ua_7_11","false",null,null,"Комбінована упаковка, що складається з мазі та таблетки вагінальної."
"12","1.0","CombinationPackage","2023-10-10T19:35:25.703","2024-09-23T15:26:42.839","200000002334","98","1","Таблетка, вкрита оболонкою + песарій","Film-coated tablet + pessary","ua_7_12","false",null,null,"Комбінована упаковка, що складається з таблетки, вкритої плівковою оболонкою, і песарію."
"13","1.0","CombinationPackage","2023-10-10T19:35:25.721","2024-09-23T15:26:42.843","200000003175","115","1","Капсула м'яка + табл","Capsule, soft + tablet","ua_7_13","false",null,null,"Комбінована упаковка, що складається з капсули м’якої та таблетки."
"14","1.0","CombinationPackage","2023-10-10T19:35:25.771","2024-09-23T15:26:42.846","200000003176","111","1","Капсула тверда + таблетка","Capsule, hard + tablet","ua_7_14","false",null,null,"Комбінована упаковка, що складається з капсули твердої та таблетки."
"15","1.0","CombinationPackage","2023-10-10T19:35:25.823","2024-09-23T15:26:42.850","200000003177","112","1","Таблетка, вкрита плівковою оболонкою + таблетка","Film-coated tablet + tablet","ua_7_15","false",null,null,"Комбінована упаковка, що складається з таблетки, вкритої плівковою оболонкою, та таблетки."
"16","1.0","CombinationPackage","2023-10-10T19:35:25.875","2024-09-23T15:26:42.853","200000015757","66","1","Гранули шипучі + таблетка кишковорозчинна (гастрорезистента)","Effervescent granules + gastro-resistant tablet","ua_7_16","false",null,null,"Комбінована упаковка, що складається з гранул шипучих та таблетки кишковорозчинної (гастрорезистентної)."
"17","1.0","CombinationPackage","2024-09-23T15:26:42.828","2024-09-23T15:26:42.832","200000028535","57","1","Краплі очні, розчин + мазь очна","Eye drops, solution + eye ointment","ua_7_17","false",null,null,"Комбінована упаковка, що складається з крапель очних, розчину, і мазі очної."
