no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.407,2024-09-23T16:07:12.679,100000136318,85,1,"Концентрат і розчинник для розчину для ін’єкцій/інфузій","Concentrate and solvent for solution for injection/infusion",ua_8_1,false,null,null,"Концентрат стерильний і розчинник стерильний, що призначені для приготування розчину для ін’єкцій/інфузій шляхом розведення концентрату розчинником."
2,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.410,2024-09-23T16:07:12.708,100000136325,91,1,"Порошок і розчинник для розчину для ін'єкцій/шкірного прик-тесту","Powder and solvent for solution for injection/skin-prick test",ua_8_2,false,null,null,"Порошок стерильний (включаючи порошок ліофілізований) і розчинник стерильний, призначені для приготування розчину для ін’єкцій/шкірного прик-тесту шляхом розчинення порошку в розчиннику."
3,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.411,2024-09-23T16:07:12.710,100000136558,9,3,"Ліофілізат і розчинник для назальної суспензії","Lyophilisate and solvent for suspension for nasal administration",ua_8_3,false,null,null,"null"
4,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.412,2024-09-23T16:07:12.713,100000136560,7,3,"Порошок і розчинник для розчину для герметика","Powder and solvent for solution for sealant",ua_8_4,false,null,null,"null"
5,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.414,2024-09-23T16:07:12.716,100000157796,82,1,"Ліофілізат і суспензія для суспензії для ін'єкцій","Lyophilisate and suspension for suspension for injection",ua_8_5,false,null,null,"Ліофілізат стерильний (порошок ліофілізований) і суспензія стерильна, обидва з яких містять діючу(і) речовину(и), призначені для приготування суспензії для ін’єкцій для ветеринарного застосування шляхом диспергування ліофілізату в суспензії."
6,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.415,2024-09-23T16:07:12.718,100000164467,91,1,"Порошок для концентрату та розчин для розчину для інфузій","Powder for concentrate and solution for solution for infusion",ua_8_6,false,null,null,"Лікарський засіб, що складається з порошку для концентрату для розчину для інфузій та розчину для розчину для інфузій, що призначені для приготування розчину для інфузій."
7,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.416,2024-09-23T16:07:12.721,100000169997,87,1,"Порошок і розчин для розчину для бджолиних вуликів","Powder and solution for bee-hive solution",ua_8_7,false,null,null,"Порошок і розчин, обидва з яких містять діючу(і) речовину(и), призначені для приготування розчину для бджоліних вуликів шляхом розчинення порошку в розчині."
8,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.418,2024-09-23T16:07:12.724,100000170588,5,4,"Суспензія та розчинник для перорального спрею","Suspension and solvent for oral spray",ua_8_8,false,null,null,"null"
9,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.419,2024-09-23T16:07:12.727,100000171127,90,1,"Ліофілізат і розчинник для пероральної суспензії","Lyophilisate and solvent for oral suspension",ua_8_9,false,null,null,"Ліофілізат (порошок ліофілізований) і розчинник, призначені для приготування пероральної суспензії для ветеринарного застосування шляхом диспергування ліофілізату в розчиннику."
10,1.0,CombinedPharmaceuticalDoseForm,2023-10-10T10:38:48.420,2024-09-23T16:07:12.730,100000171193,92,1,"Концентрат і розчинник для концентрату для перорального спрею, суспензія","Concentrate and solvent for concentrate for oral spray, suspension",ua_8_10,false,null,null,"Препарат для ветеринарного застосування, що складається з концентрату та розчинника, що призначені для приготування концентрату для спрею для перорального застосування, суспензії шляхом розведення концентрату розчинником; отриманий концентрат для спрею для перорального застосування, суспензії необхідно згодом знову розбавити перед застосуванням у вигляді спрею для перорального застосування, суспензії."
