no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,CombinedTerm,2023-10-10T20:40:13.821,2024-09-23T15:52:24.045,100000136320,87,1,"Краплі очні, розчин пролонгованої дії в однодозовому контейнері","Eye drops, prolonged-release solution in single-dose container",ua_9_1,false,null,null,"Лікарський засіб, що складається з розчину пролонгованої дії для крапель очних та випускається в однодозовому контейнері."
2,1.0,CombinedTerm,2023-10-10T20:40:13.825,2024-09-23T15:52:24.079,100000136321,88,1,"Краплі очні, суспензія в однодозовому контейнері","Eye drops, suspension in single-dose container",ua_9_2,false,null,null,"Лікарський засіб, що складається з суспензії для приготування крапель очних та випускається в однодозовому контейнері."
3,1.0,CombinedTerm,2023-10-10T20:40:13.827,2024-09-23T15:52:24.083,100000136322,87,1,"Мазь очна в однодозовому контейнері","Eye ointment in single-dose container",ua_9_3,false,null,null,"Лікарський засіб, що складається з мазі очної та випускається в однодозовому контейнері."
4,1.0,CombinedTerm,2023-10-10T20:40:13.829,2024-09-23T15:52:24.086,100000136323,87,1,"Гранули для приготування розчину для пеорального застосування в саше","Granules for oral solution in sachet",ua_9_4,false,null,null,"Лікарський засіб, що складається з гранул для приготування розчину для перорального застосування та випускається в саше."
5,1.0,CombinedTerm,2023-10-10T20:40:13.831,2024-09-23T15:52:24.095,100000166823,89,1,"Розчин для ін'єкцій у попередньо наповненому інжекторі","Solution for injection in pre-filled injector",ua_9_5,false,null,null,"Лікарський засіб, що складається з розчину для ін’єкцій та випускається у попередньо наповненому інжекторі."
6,1.0,CombinedTerm,2023-10-10T20:40:13.833,2024-09-23T15:52:24.098,100000167461,86,1,"Розчин для ін'єкцій у картриджі-дозаторі","Solution for injection in dose-dispenser cartridge",ua_9_6,false,null,null,"Лікарський засіб, що складається з розчину для ін’єкцій та випускається у картриджі-дозаторі."
7,1.0,CombinedTerm,2023-10-10T20:40:13.836,2024-09-23T15:52:24.101,100000170490,87,1,"Дисперсія для бджоліних вуликів в саше","Bee-hive dispersion in sachet",ua_9_7,false,null,null,"Лікарський засіб, що складається з дисперсії для бджоліних вуликів та випускається в саше."
8,1.0,CombinedTerm,2023-10-10T20:40:13.837,2024-09-23T15:52:24.104,100000174056,81,1,"Розчин для ін'єкцій в системі для введення","Solution for injection in administration system",ua_9_8,false,null,null,"Лікарський засіб, що складається з розчину для ін’єкцій та випускається в системі для введення."
9,1.0,CombinedTerm,2023-10-10T20:40:13.839,2024-09-23T15:52:24.108,100000174057,82,1,"Порошок і розчинник для приготування суспензії пролонгованої дії для ін’єкції у попередньо наповненому шприці","Powder and solvent for prolonged-release suspension for injection in pre-filled syringe",ua_9_9,false,null,null,"Лікарський засіб, що складається з порошку та розчинника для приготвування суспензії пролонгованої дії для ін’єкцій та випускається у попередньо наповненому шприці. Порошок і розчинник містяться в різних відділеннях попередньо наповненого шприца, який містить усі компоненти, необхідні для приготування суспензії пролонгованої дії для ін’єкцій."
10,1.0,CombinedTerm,2023-10-10T20:40:13.842,2024-09-23T15:52:24.111,100000174058,85,1,"Порошок для приготування суспензії для перорального застосування/суспензії ректальної в саше","Powder for oral/rectal suspension in sachet",ua_9_10,false,null,null,"Лікарський засіб, що складається з порошку для приготування суспензії для орального застосування/суспензії ректальної та випускається в саше."
11,1.0,CombinedTerm,2023-10-10T20:40:13.844,2024-09-23T15:52:24.114,100000174059,83,1,"Суспензія для ін'єкцій у попередньо наповненому інжекторі","Suspension for injection in pre-filled injector",ua_9_11,false,null,null,"Лікарський засіб, що складається з суспензії для ін’єкцій та випускається в попередньо наповненому інжекторі."
12,1.0,CombinedTerm,2023-10-10T20:40:13.846,2024-09-23T15:52:24.117,100000174060,84,1,"Гель в саше","Gel in sachet",ua_9_12,false,null,null,"Лікарський засіб, що складається з гелю та випускається в саше."
13,1.0,CombinedTerm,2023-10-10T20:40:13.848,2024-09-23T15:52:24.120,100000174061,84,1,"Суспензія оральна у попередньо наповненому оральному аплікаторі","Oral suspension in pre-filled oral applicator",ua_9_13,false,null,null,"Лікарський засіб, що складається із суспензії для перорального застосування та випускається в попередньо наповненому аплікаторі для перорального застосування."
14,1.0,CombinedTerm,2023-10-10T20:40:13.850,2024-09-23T15:52:24.122,100000174062,81,1,"Емульсія для перорального застосування у саше","Oral emulsion in sachet",ua_9_14,false,null,null,"Лікарський засіб, що складається з емульсії та випускається для перорального застосування та випускається в саше."
15,1.0,CombinedTerm,2023-10-10T20:40:13.852,2024-09-23T15:52:24.125,100000174063,82,1,"Паста для перорального застосування у саше","Oral paste in sachet",ua_9_15,false,null,null,"Лікарський засіб, що складається з пасти для перорального застосування, що випскається в саше."
16,1.0,CombinedTerm,2023-10-10T20:40:13.854,2024-09-23T15:52:24.128,100000174064,84,1,"Порошок і розчинник для приготування суспензії пролонгованої дії для ін’єкцій у попередньо наповненій ручці","Powder and solvent for prolonged-release suspension for injection in pre-filled pen",ua_9_16,false,null,null,"Лікарський засіб, що складається з порошку та розчинника для приготування суспензії пролонгованої дії для ін’єкцій та випускається в попередньо наповненій ручці. Порошок і розчинник містяться в різних відділеннях попередньо наповненої ручки, яка містить усі компоненти, необхідні для приготування суспензії пролонгованої дії для ін’єкцій."
17,1.0,CombinedTerm,2023-10-10T20:40:13.856,2024-09-23T15:52:24.134,100000156069,83,1,"Таблетка, вкрита плівковою оболонкою, та гранули (кишковорозчинні) гастрорезистентні в саше","Film-coated tablet and gastro-resistant granules in sachet",ua_9_17,false,null,null,"Лікарський засіб, що складається з таблетки, вкритої плівковою оболонкою, та гранул (кишковорозчинних) гастрорезистентних та випускається в саше та призначений для ковтання разом у вигляді дозидля одноразового введення. Якщо для досягнення дози включені дві або більше таблеток, використовується термін «таблетки, вкриті оболонкою, та гранули (кишковорозчинні) гастрорезистентні в саше»."
18,1.0,CombinedTerm,2023-10-10T20:40:13.858,2024-09-23T15:52:24.137,100000156090,83,1,"Краплі вушні, розчин в однодозовому контейнері","Ear drops, solution in single-dose container",ua_9_18,false,null,null,"Лікарський засіб, що складається з розчину для крапель вушних та випускається в однодозовому контейнері."
19,1.0,CombinedTerm,2023-10-10T20:40:13.859,2024-09-23T15:52:24.139,100000171807,91,1,"Гранули в однодозовому контейнері","Granules in single-dose container",ua_9_19,false,null,null,"Лікарський засіб, що складається з гранул та випускається в однодозовому контейнері."
20,1.0,CombinedTerm,2023-10-10T20:40:13.861,2024-09-23T15:52:24.142,100000172024,92,1,"Сироп у саше","Syrup in sachet",ua_9_20,false,null,null,"Лікарський засіб, що складається із сиропу та випускається в саше."
21,1.0,CombinedTerm,2023-10-10T20:40:13.863,2024-09-23T15:52:24.144,100000172025,95,1,"Емульсія для інфузій в системі для введення","Emulsion for infusion in administration system",ua_9_21,false,null,null,"Лікарський засіб, що складається з емульсії для інфузій, що випускається в системі для введення."
22,1.0,CombinedTerm,2023-10-10T20:40:13.866,2024-09-23T15:52:24.159,200000003532,83,1,"Порошок і розчинник для приготування суспензії для ін’єкцій у багатодозовому контейнері","Powder and solvent for suspension for injection in multidose container",ua_9_22,false,null,null,"Лікарський засіб, що складається з порошку та розчинника для приготування суспензії для ін’єкцій та випускається у багатодозовому контейнері; зазвичай порошок випускається в багатодозовому контейнері, тоді як розчинник випускається в окремому контейнері та додається до порошку для приготування суспензії для ін’єкцій у багатодозовому контейнері."
23,1.0,CombinedTerm,2023-10-10T20:40:13.867,2024-09-23T15:52:24.162,200000003533,83,1,"Розчин для ін’єкцій у багатодозовому контейнері","Solution for injection in multidose container",ua_9_23,false,null,null,"Лікарський засіб, що складається з розчину для ін’єкцій та випускається у багатодозовому контейнері."
24,1.0,CombinedTerm,2023-10-10T20:40:13.869,2024-09-23T15:52:24.165,200000003534,84,1,"Суспензія для ін’єкцій у багатодозовому контейнері","Suspension for injection in multidose container",ua_9_24,false,null,null,"Лікарський засіб, що складається із суспензії для ін’єкцій та випускається у багатодозовому контейнері."
25,1.0,CombinedTerm,2023-10-10T20:40:13.872,2024-09-23T15:52:24.167,200000003542,6,3,"Гранули у капсулі для відкриття","Granules in capsule for opening",ua_9_25,false,null,null,"null"
26,1.0,CombinedTerm,2023-10-10T20:40:13.874,2024-09-23T15:52:24.177,200000003970,81,1,"Суспензія пролонгованої дії для ін’єкції у попередньо наповненій ручці","Prolonged-release suspension for injection in pre-filled pen",ua_9_26,false,null,null,"Лікарський засіб, що складається з суспензії пролонгованої дії для ін’єкції та випускається в попередньо наповненій ручці."
27,1.0,CombinedTerm,2023-10-10T20:40:13.876,2024-09-23T15:52:24.180,200000003584,6,1,"Розчин для ін'єкцій у флаконі","Solution for injection in vial",ua_9_27,false,null,null,"null"
28,1.0,CombinedTerm,2023-10-10T20:40:13.878,2024-09-23T15:52:24.182,200000005491,64,1,"Порошок назальний в однодозовому контейнері","Nasal powder in single-dose container",ua_9_28,false,null,null,"Лікарський засіб, що складається з порошку назального в однодозовому контейнері, як правило, з вбудованим пристроєм для полегшення назального введення."
29,1.0,CombinedTerm,2023-10-10T20:40:13.880,2024-09-23T15:52:24.185,200000010389,71,1,"Розчин для інфузій у картриджах","Solution for infusion in cartridge",ua_9_29,false,null,null,"Лікарський засіб, що складається з розчину для інфузії, що випускається в картриджі, що призначений для використання в спеціальному пристрої, такому як інфузійний насос."
30,1.0,CombinedTerm,2023-10-10T20:40:13.882,2024-09-23T15:52:24.187,200000010633,3,4,"Розчин для ін’єкцій у попередньо наповнених шприцах в одноразовій касеті","Solution for injection in pre-filled syringe in disposable cassette",ua_9_30,false,null,null,"null"
31,1.0,CombinedTerm,2023-10-10T20:40:13.884,2024-09-23T15:52:24.190,200000010731,60,1,"Порошок для перорального застосування в однодозовому контейнері","Oral powder in single-dose container",ua_9_31,false,null,null,"Лікарський засіб, що складається з порошку для перорального застосування в однодозовому конетейнері."
32,1.0,CombinedTerm,2023-10-10T20:40:13.886,2024-09-23T15:52:24.192,100000073997,91,1,"Краплі очні, розчин в однодозовому контейнері","Eye drops, solution in single-dose container",ua_9_32,false,null,null,"Лікарський засіб, що складається з розчину для крапель очних, що випускається в однодозовому контейнері."
33,1.0,CombinedTerm,2023-10-10T20:40:13.889,2024-09-23T15:52:24.195,100000074013,92,3,"Порошок оромукозний у кисеті (гнучкому мішечку)","Oromucosal powder in pouch",ua_9_33,false,null,null,"Лікарський засіб, що складається з порошку оромукозного та випускається у кисеті (гнучкому мішечку)."
34,1.0,CombinedTerm,2023-10-10T20:40:13.891,2024-09-23T15:52:24.197,100000074028,91,1,"Пілюлі в однодозовому контейнері","Pillules in single-dose container",ua_9_34,false,null,null,"Лікарський засіб, що складається з пілюлей та випускається в однодозовому контейнері."
35,1.0,CombinedTerm,2023-10-10T20:40:13.892,2024-09-23T15:52:24.200,100000074039,89,1,"Розчин для ін’єкцій у попередньо наповненій ручці","Solution for injection in pre-filled pen",ua_9_35,false,null,null,"Лікарський засіб, що складається з розчину для ін’єкцій та випускається у попередньо наповненій ручці."
36,1.0,CombinedTerm,2023-10-10T20:40:13.894,2024-09-23T15:52:24.202,100000074046,86,1,"Розчин для ін'єкцій у картриджі","Solution for injection in cartridge",ua_9_36,false,null,null,"Лікарський засіб, що складається з розчину для ін'єкцій та випускається в картриджі."
37,1.0,CombinedTerm,2023-10-10T20:40:13.896,2024-09-23T15:52:24.205,100000074047,87,1,"Розчин для ін’єкцій у попередньо наповненому шприці","Solution for injection in pre-filled syringe",ua_9_37,false,null,null,"Лікарський засіб, що складається з розчину для ін’єкцій та випускається у попередньо наповненому шприці."
38,1.0,CombinedTerm,2023-10-10T20:40:13.899,2024-09-23T15:52:24.208,100000074050,142,1,"Суспензія для ін’єкцій у попередньо наповненій ручці","Suspension for injection in pre-filled pen",ua_9_38,false,null,null,"Лікарський засіб, що складається з суспензії для ін’єкцій та випускається у попередньо наповненій ручці."
39,1.0,CombinedTerm,2023-10-10T20:40:13.902,2024-09-23T15:52:24.210,100000074062,86,1,"Суспензія для ін'єкцій у картриджі","Suspension for injection in cartridge",ua_9_39,false,null,null,"Лікарський засіб, що складається з суспензії для ін'єкцій та випускається в картриджі."
40,1.0,CombinedTerm,2023-10-10T20:40:13.903,2024-09-23T15:52:24.213,100000074063,87,1,"Суспензія для ін’єкцій у попередньо наповненому шприці","Suspension for injection in pre-filled syringe",ua_9_40,false,null,null,"Лікарський засіб, що складається із суспензії для ін’єкцій та випускається у попередньо наповненому шприці."
41,1.0,CombinedTerm,2023-10-10T20:40:13.906,2024-09-23T15:52:24.215,200000002333,94,1,"Краплі очні, емульсія в однодозовому контейнері","Eye drops, emulsion in single-dose container",ua_9_41,false,null,null,"Лікарський засіб, що складається з емульсії для крапель очних та випускається в однодозовому контейнері."
