no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,ComponentType,2024-10-18T14:50:49.716,2024-10-18T14:50:49.720,100000137702,84,1,"Контейнер","Container",ua_10_1,false,null,null,"Елемент упаковки, який використовується для зберігання, ідентифікації та/або транспортування лікарського засобу. Використовувати лише там, де не застосовуються більш специфічні терміни. Специфічні характеристики контейнера визначені в інформації про лікарський засіб."
2,1.0,ComponentType,2024-10-18T14:50:49.727,2024-10-18T14:50:49.729,100000163233,1,5,"диск","disk",ua_10_2,false,null,null,"null"
3,1.0,ComponentType,2024-10-18T14:50:49.732,2024-10-18T14:50:49.734,100000163234,1,5,"поршень","plunger",ua_10_3,false,null,null,"null"
4,1.0,ComponentType,2024-10-18T14:50:49.736,2024-10-18T14:50:49.737,100000164143,3,4,"інфузійний порт","infusion port",ua_10_4,false,null,null,"null"
5,1.0,ComponentType,2024-10-18T14:50:49.740,2024-10-18T14:50:49.742,100000166980,87,1,"Клапан","Valve",ua_10_5,false,null,null,"Закупорювальний засіб, який регулює вивільнення вмісту з контейнера (наприклад, газового балона) шляхом регулювання отвору вихідного каналу, зазвичай дозволяючи безперервний потік вмісту з контейнера; може бути вбудований пристрій, який контролює рух клапана. «Клапан-дозатор» і «Розпилювальний клапан» виключені."
6,1.0,ComponentType,2024-10-18T14:50:49.744,2024-10-18T14:50:49.746,100000169899,5,3,"Каністра","Jerrycan",ua_10_6,false,null,null,"null"
7,1.0,ComponentType,2024-10-18T14:50:49.748,2024-10-18T14:50:49.750,100000173982,85,1,"Оральний аплікатор","Oral applicator",ua_10_7,false,null,null,"Пристрій для введення рідкої або напівтвердої лікарської форми в ротову порожнину. Цей термін можна використовувати для опису перорального шприца у випадках, коли існує ризик помилки при введенні, наприклад, коли подібний лікарський засіб часто вводять за допомогою ін’єкцій, наприклад, у разі вакцин. Він може містити один або більше компонентів, необхідних для приготування кінцевого продукту (наприклад, розчинник), але не містить кінцевого препарату або всіх його компонентів; у таких випадках замість цього використовуйте «Попередньо заповнений пероральний аплікатор»."
8,1.0,ComponentType,2024-10-18T14:50:49.752,2024-10-18T14:50:49.754,100000173983,82,1,"Дозатор","Dose dispenser",ua_10_8,false,null,null,"Пристрій для відмірюванні (?дозування) заданої кількості лікарського засобу, наприклад автоматичний електронний лічильник. Попередньо заповнені ручки, попередньо заповнені шприци, інгалятори, дозувальні насоси тощо виключаються."
9,1.0,ComponentType,2024-10-18T14:50:49.756,2024-10-18T14:50:49.759,100000174066,85,1,"Однодозовий блістер","Unit-dose blister",ua_10_9,false,null,null,"Контейнер, що складається з двох шарів, один з яких має форму для розміщення окремої одиниці, зазвичай забезпечений перфорацією, метою якої є можливість відокремлення кожної окремої одиниці для введення окремої одиниці. Уся інформація, необхідна для блістерних упаковок, повинна міститися на кожній одиничній дозі. Блістери та смужки (?стрипи) виключені."
10,1.0,ComponentType,2024-10-18T14:50:49.762,2024-10-18T14:50:49.765,100000174067,84,1,"Попередньо заповнений інжектор","Pre-filled injector",ua_10_10,false,null,null,"Наповнений контейнер, як правило, оснащений ін’єкційною голкою, яка може мати або не мати захисний пристрій для голки, містить стерильний однодозовий парентеральний препарат. Цей термін слід використовувати лише тоді, коли більш специфічний термін, наприклад «Попередньо наповнений шприц» або «Попередньо наповнена шприц-ручка», не підходить."
11,1.0,ComponentType,2024-10-18T14:50:49.768,2024-10-18T14:50:49.771,100000174068,87,1,"Попередньо заповнений пероральний шприц","Pre-filled oral syringe",ua_10_11,false,null,null,"Наповнений контейнер для введення рідкої або напівтвердої лікарської форми в ротову порожнину, що містить кінцевий препарат в одному відділенні або компоненти, необхідні для його приготування, в різних відділеннях."
12,1.0,ComponentType,2024-10-18T14:50:49.774,2024-10-18T14:50:49.778,100000174069,85,1,"Попередньо заповнений пероральний аплікатор","Pre-filled oral applicator",ua_10_12,false,null,null,"Наповнений контейнер для введення рідкої або напівтвердої лікарської форми в ротову порожнину, що містить кінцевий препарат в одному відділенні або компоненти, необхідні для його приготування, в різних відділеннях. Цей термін може використовуватися для опису попередньо наповненого перорального шприца у разі, коли існує ризик помилки при введенні, наприклад, коли подібний лікарський засіб часто вводять шляхом ін’єкції, наприклад, у разі вакцин."
13,1.0,ComponentType,2024-10-18T14:50:49.781,2024-10-18T14:50:49.784,100000174070,79,1,"Картридж-дозатор","Dose-dispenser cartridge",ua_10_13,false,null,null,"Контейнер, призначений для використання в дозаторі, зазвичай попередньо заповнений лікарським засобом. Картриджі, призначені для використання в ручках, виключаються."
14,1.0,ComponentType,2024-10-18T14:50:49.787,2024-10-18T14:50:49.791,200000024874,65,1,"Туба для таблеток","Tablet tube",ua_10_14,false,null,null,"Жорсткий циліндричний контейнер, який закритий з одного кінця, зазвичай призначений для крихких таблеток, таких як шипучі таблетки, і який призначений для того, щоб таблетки можна було складати в одну колонку, тим самим зменшуючи ймовірність фізичного пошкодження, спричиненого ударами одна об одну, або стінку контейнера. Відкритий кінець можна повторно закривати, а у разі шипучих таблеток осушувач зазвичай вбудований у закупорювальний засіб."
15,1.0,ComponentType,2024-10-18T14:50:49.794,2024-10-18T14:50:49.797,200000026021,55,1,"Набір газових балонів","Gas cylinder bundle",ua_10_15,false,null,null,"Контейнер, що складається з комплекту балонів, призначених для стисненого, зрідженого або розчиненого газу, які скріплені разом у рамі та з’єднані колектором, транспортуються та використовуються як одне ціле. Він оснащений пристроєм для регулювання мимовільного виходу газу при атмосферному тиску і кімнатній температурі."
16,1.0,ComponentType,2024-10-18T14:50:49.800,2024-10-18T14:50:49.803,200000032417,2,4,"Ковпачок, що висувається","Pop-up cap",ua_10_16,false,null,null,"null"
17,1.0,ComponentType,2024-10-18T14:50:49.806,2024-10-18T14:50:49.809,200000033792,2,4,"Каністра","Canister",ua_10_17,false,null,null,"null"
18,1.0,ComponentType,2024-10-18T14:50:49.812,2024-10-18T14:50:49.815,200000005068,80,1,"Ручка","Pen",ua_10_18,false,null,null,"Пристрій для введення, призначений для розміщення картриджа, який містить стерильний однодозовий або багатодозовий парентеральний препарат. Зазвичай він постачається без фіксованої голки та може мати або не мати захисний пристрій для голки. Зазвичай картридж можна замінити, коли він порожній. Попередньо визначена доза, яку можна регулювати або не регулювати, вводиться за допомогою дії, наприклад натискання кнопки. Дозатор виключений."
