no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,DosageFormCategory,2023-10-11T11:21:30.315,2024-09-23T16:19:26.812,100000073355,5,1,"оральні препарати - рідкі та напівтверді форми","oral preparations-liquid and semi-solid forms",ua_15_1,false,null,null,"null"
2,1.0,DosageFormCategory,2023-10-11T11:21:30.352,2024-09-23T16:19:26.849,100000073356,4,1,"оральні препарати - тверді форми","oral preparations-solid forms",ua_15_2,false,null,null,"null"
3,1.0,DosageFormCategory,2023-10-11T11:21:30.355,2024-09-23T16:19:26.854,100000073357,6,1,"оромукозальні препарати","oromucosal preparations",ua_15_3,false,null,null,"null"
4,1.0,DosageFormCategory,2023-10-11T11:21:30.358,2024-09-23T16:19:26.858,100000073358,4,1,"препарати для стоматологічного застосування","preparations for dental use",ua_15_4,false,null,null,"null"
5,1.0,DosageFormCategory,2023-10-11T11:21:30.360,2024-09-23T16:19:26.862,100000073359,5,1,"препарати для нашкірного та трансдермального застосування","cutaneous and transdermal preparations",ua_15_5,false,null,null,"null"
6,1.0,DosageFormCategory,2023-10-11T11:21:30.362,2024-09-23T16:19:26.866,100000073360,3,1,"препарати для очей","eye preparations",ua_15_6,false,null,null,"null"
7,1.0,DosageFormCategory,2023-10-11T11:21:30.365,2024-09-23T16:19:26.870,100000073381,4,1,"препарати для вух","ear preparations",ua_15_7,false,null,null,"null"
8,1.0,DosageFormCategory,2023-10-11T11:21:30.367,2024-09-23T16:19:26.873,100000073382,4,1,"назальні препарати","nasal preparations",ua_15_8,false,null,null,"null"
9,1.0,DosageFormCategory,2023-10-11T11:21:30.369,2024-09-23T16:19:26.877,100000073383,4,1,"вагінальні препарати (препарати для вагільного застосування)","vaginal preparations",ua_15_9,false,null,null,"null"
10,1.0,DosageFormCategory,2023-10-11T11:21:30.371,2024-09-23T16:19:26.881,100000073384,4,1,"ректальні препарати (препарати для ректального застосування)","rectal preparations",ua_15_10,false,null,null,"null"
11,1.0,DosageFormCategory,2023-10-11T11:21:30.373,2024-09-23T16:19:26.886,100000073385,4,1,"препарати для інгаляцій","preparations for inhalation",ua_15_11,false,null,null,"null"
12,1.0,DosageFormCategory,2023-10-11T11:21:30.375,2024-09-23T16:19:26.890,100000073386,4,1,"препарати для парентерального застосування","parenteral preparations",ua_15_12,false,null,null,"null"
13,1.0,DosageFormCategory,2023-10-11T11:21:30.377,2024-09-23T16:19:26.893,100000073387,3,1,"імпланти (iмплантати)","implants",ua_15_13,false,null,null,"null"
14,1.0,DosageFormCategory,2023-10-11T11:21:30.379,2024-09-23T16:19:26.897,100000073388,5,1,"препарати для діалізу","preparations for dialysis",ua_15_14,false,null,null,"null"
15,1.0,DosageFormCategory,2023-10-11T11:21:30.382,2024-09-23T16:19:26.901,100000073389,4,1,"препарати для внутрішньоміхурового та уретрального застосування","preparations for intravesical and urethral use",ua_15_15,false,null,null,"null"
16,1.0,DosageFormCategory,2023-10-11T11:21:30.384,2024-09-23T16:19:26.905,100000073390,3,1,"трахеопульмональні препарати","tracheopulmonary preparations",ua_15_16,false,null,null,"null"
17,1.0,DosageFormCategory,2023-10-11T11:21:30.386,2024-09-23T16:19:26.909,100000073391,4,1,"ендоцервікальні препарати","endocervical preparations",ua_15_17,false,null,null,"null"
18,1.0,DosageFormCategory,2023-10-11T11:21:30.387,2024-09-23T16:19:26.912,100000073392,5,1,"інтрамамарні препарати (препарати для внутрішньовим'яного застосування)","intramammary preparations",ua_15_18,false,null,null,"null"
19,1.0,DosageFormCategory,2023-10-11T11:21:30.390,2024-09-23T16:19:26.916,100000073393,4,1,"внутрішньоматкові препарати","intrauterine preparations",ua_15_19,false,null,null,"null"
20,1.0,DosageFormCategory,2023-10-11T11:21:30.392,2024-09-23T16:19:26.919,100000073394,5,1,"препарати для середовища","environmental preparations",ua_15_20,false,null,null,"null"
21,1.0,DosageFormCategory,2023-10-11T11:21:30.394,2024-09-23T16:19:26.923,100000073395,3,1,"медичні гази","medicinal gases",ua_15_21,false,null,null,"null"
22,1.0,DosageFormCategory,2023-10-11T11:21:30.396,2024-09-23T16:19:26.926,100000073396,3,1,"різне","miscellaneous",ua_15_22,false,null,null,"null"
