no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,Language,2023-10-05T16:19:18.216,2023-11-14T17:33:57.811,100000072115,2,1,Абхазька,Abkhazian,ua_19_1,false,null,null,null
2,1.0,Language,2023-10-05T16:19:18.219,2023-11-14T17:33:57.776,100000072116,2,1,Албанська,Albanian,ua_19_2,false,null,null,null
3,1.0,Language,2023-10-05T16:19:18.222,2023-11-14T17:33:57.782,100000072117,2,1,Вірменська,Armenian,ua_19_3,false,null,null,null
4,1.0,Language,2023-10-05T16:19:18.224,2023-11-14T17:33:57.977,100000072118,2,1,Авестанська,Avestan,ua_19_4,false,null,null,null
5,1.0,Language,2023-10-05T16:19:18.227,2023-11-14T17:33:58.049,100000072119,2,1,Башкирська,Bashkir,ua_19_5,false,null,null,null
6,1.0,Language,2023-10-05T16:19:18.229,2023-11-14T17:33:57.742,100000072120,2,1,Бенгальська,Bengali,ua_19_6,false,null,null,null
7,1.0,Language,2023-10-05T16:19:18.232,2023-11-14T17:33:57.945,100000072124,1,1,Афар,Afar,ua_19_7,false,null,null,null
8,1.0,Language,2023-10-05T16:19:18.234,2023-11-14T17:33:57.813,100000072125,2,1,Африканська,Afrikaans,ua_19_8,false,null,null,null
9,1.0,Language,2023-10-05T16:19:18.236,2023-11-14T17:33:57.867,100000072126,2,1,Акан,Akan,ua_19_9,false,null,null,null
10,1.0,Language,2023-10-05T16:19:18.239,2023-11-14T17:33:57.949,100000072127,2,1,Амхарська,Amharic,ua_19_10,false,null,null,null
11,1.0,Language,2023-10-05T16:19:18.242,2023-11-14T17:33:58.010,100000072128,2,1,Арабська,Arabic,ua_19_11,false,null,null,null
12,1.0,Language,2023-10-05T16:19:18.245,2023-11-14T17:33:57.738,100000072129,2,1,Арагонська,Aragonese,ua_19_12,false,null,null,null
13,1.0,Language,2023-10-05T16:19:18.248,2023-11-14T17:33:57.788,100000072130,2,1,Асамська,Assamese,ua_19_13,false,null,null,null
14,1.0,Language,2023-10-05T16:19:18.250,2023-11-14T17:33:57.784,100000072131,2,1,Аварська,Avaric,ua_19_14,false,null,null,null
15,1.0,Language,2023-10-05T16:19:18.253,2023-11-14T17:33:57.786,100000072132,2,1,Аймара,Aymara,ua_19_15,false,null,null,null
16,1.0,Language,2023-10-05T16:19:18.256,2023-11-14T17:33:57.992,100000072133,2,1,Азербайджанська,Azerbaijani,ua_19_16,false,null,null,null
17,1.0,Language,2023-10-05T16:19:18.259,2023-11-14T17:33:58.038,100000072134,2,1,Бамбара,Bambara,ua_19_17,false,null,null,null
18,1.0,Language,2023-10-05T16:19:18.262,2023-11-14T17:33:57.994,100000072135,2,1,Баскська,Basque,ua_19_18,false,null,null,null
19,1.0,Language,2023-10-05T16:19:18.265,2023-11-14T17:33:57.996,100000072136,2,1,Білоруська,Belarusian,ua_19_19,false,null,null,null
20,1.0,Language,2023-10-05T16:19:18.269,2023-11-14T17:33:57.910,100000072137,2,1,Біхарі,Bihari,ua_19_20,false,null,null,null
21,1.0,Language,2023-10-05T16:19:18.272,2023-11-14T17:33:58.082,100000072138,2,1,Біслама,Bislama,ua_19_21,false,null,null,null
22,1.0,Language,2023-10-05T16:19:18.276,2023-11-14T17:33:58.084,100000072139,2,1,Бретонська,Breton,ua_19_22,false,null,null,null
23,1.0,Language,2023-10-05T16:19:18.280,2023-11-14T17:33:58.015,100000072140,2,1,Бірманська,Burmese,ua_19_23,false,null,null,null
24,1.0,Language,2023-10-05T16:19:18.283,2023-11-14T17:33:57.732,100000072141,2,1,Боснійська,Bosnian,ua_19_24,false,null,null,null
