no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,ManufacturingActivity,2023-10-17T15:43:12.451,2023-11-14T17:34:33.977,100000160407,1,1,"Виробник, відповідальний за сертифікацію партії","Manufacturer responsible for batch certification",ua_21_1,false,Сертифікація партії,Batch certification,"Стосується сертифікації кваліфікованою особою партії готового продукту лікарського засобу, яка передує його випуску на ринок або експорту партії."
2,1.0,ManufacturingActivity,2023-10-17T15:43:12.478,2023-11-14T17:34:34.038,100000160408,2,1,"Контрольне тестування якості лікарського засобу","Quality control testing of medicinal product",ua_21_2,false,null,null,"Стосується видів лабораторних досліджень, які має право проводити власник дозволу виробника / на імпортування (MIA). Сюди включаються: тестування перед випуском, тестування для цілей імпорту, аналітичний контроль, стерильність, ендотоксин, тестування на мікоплазму, тестування на віруси, візуальний огляд/контроль, хроматографія, електрофорез..."
3,1.0,ManufacturingActivity,2023-10-17T15:43:12.482,2023-11-14T17:34:34.044,100000160409,2,1,"Мікробіологічне дослідження: стерильність","Microbiological testing: sterility",ua_21_3,false,Тестування контролю якості - мікробіологічне - стерильність,Quality Control Testing - Microbiological - sterility,"null"
4,1.0,ManufacturingActivity,2023-10-17T15:43:12.486,2023-11-14T17:34:34.054,100000160410,2,1,"Мікробіологічне тестування: нестерильність","Microbiological testing: non-sterility",ua_21_4,false,Тестування контролю якості - Мікробіологічне - нестерильність,Quality Control Testing - Microbiological - non-sterility,"null"
5,1.0,ManufacturingActivity,2023-10-17T15:43:12.491,2023-11-14T17:34:34.013,100000160411,2,1,"Хімічні/фізичні дослідження","Chemical/Physical testing",ua_21_5,false,Тестування контролю якості - хімічне/фізичне,Quality Control Testing - Chemical/Physical,"null"
6,1.0,ManufacturingActivity,2023-10-17T15:43:12.495,2023-11-14T17:34:34.022,100000160412,2,1,"Біологічне дослідження","Biological testing",ua_21_6,false,Тестування контролю якості - біологічне,Quality Control Testing - Biological,"null"
7,1.0,ManufacturingActivity,2023-10-17T15:43:12.499,2023-11-14T17:34:33.984,100000160413,2,1,"Операції з обробки лікарського засобу","Processing operations for the medicinal product",ua_21_7,false,null,null,"Стосується будь-якої або всіх стадій обробки в процесі виготовлення лікарської форми. Сюди включаються: виробництво розсипного продукту / проміжного продукту, обробка, грануляція, сублімаційне висушування / ліофілізація, складання сумішей / змішування, нанесення покриттів, пресування… Примітка: для стерильних продуктів переробка включає стерилізацію/опромінення активної речовини або продукту та фасування в безпосередній контейнер."
8,1.0,ManufacturingActivity,2023-10-17T15:43:12.503,2023-11-14T17:34:34.056,100000160414,1,1,"Виробник готової продукції проміжний","Manufacturer of finished products intermediate",ua_21_8,false,null,null,"null"
9,1.0,ManufacturingActivity,2023-10-17T15:43:12.507,2023-11-14T17:34:34.058,100000160415,1,1,"Виробництво розчиннику/розріджувачу","Manufacture of solvent / diluent",ua_21_9,false,Виробництво розчинника/ розріджувача,Manufacture of solvent/diluent,"null"
10,1.0,ManufacturingActivity,2023-10-17T15:43:12.511,2023-11-14T17:34:34.060,100000160448,2,1,"Тестування контролю якості діючої речовини","Quality control testing of active substance",ua_21_10,false,null,null,"null"
11,1.0,ManufacturingActivity,2023-10-17T15:43:12.516,2023-11-14T17:34:34.046,100000160449,2,1,"Мікробіологічне дослідження: стерильність","Microbiological testing: sterility",ua_21_11,false,Тестування контролю якості - мікробіологічне - стерильність,Quality Control Testing - Microbiological - sterility,"null"
12,1.0,ManufacturingActivity,2023-10-17T15:43:12.520,2023-11-14T17:34:33.964,100000160450,2,1,"Мікробіологічне дослідження: нестерильність","Microbiological testing: non-sterility",ua_21_12,false,Тестування контролю якості - Мікробіологічне - нестерильність,Quality Control Testing - Microbiological - non-sterility,"null"
13,1.0,ManufacturingActivity,2023-10-17T15:43:12.527,2023-11-14T17:34:34.020,100000160451,2,1,"Хімічні/фізичні дослідження","Chemical/Physical testing",ua_21_13,false,Тестування контролю якості - хімічне/фізичне,Quality Control Testing - Chemical/Physical,"null"
14,1.0,ManufacturingActivity,2023-10-17T15:43:12.531,2023-11-14T17:34:34.030,100000160452,3,1,"Біологічне дослідження","Biological testing",ua_21_14,false,Тестування контролю якості - біологічне,Quality Control Testing - Biological,"null"
15,1.0,ManufacturingActivity,2023-10-17T15:43:12.536,2023-11-14T17:34:33.973,100000160453,2,1,"Виробництво активної речовини проміжне","Manufacture of active substance intermediate",ua_21_15,false,null,null,"null"
