no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.860,2024-09-23T14:30:57.490,200000022794,3,4,Спрощена заява на реєстрацію гомеопатичного ветеринарного лікарського засобу (стаття 17 Директиви № 2001/82/ЄС),Simplified registration application for a homeopathic veterinary medicinal product (Article 17 of Directive No 2001/82/EC),ua_22_1,false,null,null,null
2,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.873,2024-09-23T14:30:57.525,200000023331,4,1,Ліцензія відповідно до статті 5(1) Директиви 2001/83/ЄC,Authorisation according to Article 5(1) of Directive 2001/83/EC,ua_22_2,false,null,null,null
3,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.875,2024-09-23T14:30:57.528,200000023343,4,1,Повідомлення про паралельний імпорт відповідно до статті 76(4) Директиви 2001/83/ЄС,Parallel importation notified in accordance with Article 76(4) of Directive 2001/83/EC,ua_22_3,false,null,null,null
4,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.878,2024-09-23T14:30:57.530,200000023344,4,1,Наявна відповідно до статті 83(2) Регламенту (ЄС) № 726/2004,Available under Article 83(2) of Regulation (EC) No 726/2004,ua_22_4,false,null,null,null
5,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.880,2024-09-23T14:30:57.533,200000023341,3,1,Ліцензія відповідно до статті 5(2) Директиви 2001/83/ЄC,Authorisation according to Article 5(2) of Directive 2001/83/EC,ua_22_5,false,null,null,null
6,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.882,2024-09-23T14:30:57.536,200000023342,3,1,Повідомлено про паралельний імпорт відповідно до статті 76(3) Директиви 2001/83/ЄС,Parallel importation notified in accordance with Article 76(3) of Directive 2001/83/EC,ua_22_6,false,null,null,null
7,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.885,2024-09-23T14:30:57.560,200000013166,3,1,Відома допоміжна лікарська речовина, отримана з крові/плазми людини (стаття 52 (9) Регламенту (ЄС) 2017/745),Known human blood/plasma derived ancillary medicinal substance (Article 52 (9) of Regulation (EU) 2017/745),ua_22_7,false,null,null,null
8,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.887,2024-09-23T14:30:57.562,200000013169,3,1,Невідома допоміжна лікарська речовина (отримана не з крові/плазми людини) (стаття 52 (9) Регламенту (ЄС) 2017/745),Unknown ancillary medicinal substance (not human blood/plasma derived) (Article 52 (9) of Regulation (EU) 2017/745),ua_22_8,false,null,null,null
9,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.889,2024-09-23T14:30:57.565,200000013167,3,1,Відома допоміжна лікарська речовина (отримана не з крові/плазми людини) (стаття 52 (9) Регламенту (ЄС) 2017/745,Known ancillary medicinal substance (not human blood/plasma derived) (Article 52 (9) of Regulation (EU) 2017/745),ua_22_9,false,null,null,null
10,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.892,2024-09-23T14:30:57.567,200000013168,3,1,Невідома допоміжна лікарська речовина, отримана з крові/плазми людини (стаття 52 (9) Регламенту (ЄС) 2017/745),Unknown human blood/plasma derived ancillary medicinal substance (Article 52 (9) of Regulation (EU) 2017/745),ua_22_10,false,null,null,null
11,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.894,2024-09-23T14:30:57.570,200000013170,3,1,Супутня діагностика (стаття 48 (3), (4), (7), (8) Регламенту (ЄС) 2017/746),Companion Diagnostics (Article 48 (3), (4), (7), (8) of Regulation (EU) 2017/746),ua_22_11,false,null,null,null
12,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.897,2024-09-23T14:30:57.572,200000013171,5,1,Медичний виріб, що складається з речовини або комбінацій речовин (стаття 52 (11) Регламенту (ЄС) 2017/745),Medical device composed of a substance or combinations of substances (Article 52 (11) of Regulation (EU) 2017/745),ua_22_12,false,null,null,null
13,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.899,2024-09-23T14:30:57.575,200000013176,6,3,Ліцензії на тимчасове застосування (стаття 8 Директиви № 2001/82/ЄС),Authorisations for temporary use (article 8 of Directive No 2001/82/EC),ua_22_13,false,null,null,null
14,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.902,2024-09-23T14:30:57.578,200000013179,8,1,Повна заява - відома діюча речовина (стаття 8 Регламенту (ЄС) 2019/6),Full application - known active substance (Article 8 of Regulation (EU) 2019/6),ua_22_14,false,null,null,null
15,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.904,2024-09-23T14:30:57.580,200000013180,8,1,Генерична заява (стаття 18 Регламенту (ЄС) 2019/6),Generic application (Article 18 of Regulation (EU) 2019/6),ua_22_15,false,null,null,null
16,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.907,2024-09-23T14:30:57.583,200000013182,7,1,Комбіновані ветеринарні лікарські засоби (стаття 20 Регламенту (ЄС) 2019/6),Combination veterinary medicinal products (Article 20 of Regulation (EU) 2019/6),ua_22_16,false,null,null,null
17,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.909,2024-09-23T14:30:57.585,200000013183,8,1,Заява на отримання інформованої згоди (стаття 21 Регламенту (ЄС) 2019/6),Informed Consent application (Article 21 of Regulation (EU) 2019/6),ua_22_17,false,null,null,null
18,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.912,2024-09-23T14:30:57.588,200000013188,8,3,Дозвіл на національне застосування через ситуацію в сфері охорони здоров’я (стаття 116 Регламенту (ЄС) 2019/6),Permission for national use due to health situation (Article 116 of Regulation (EU) 2019/6),ua_22_18,false,null,null,null
19,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.915,2024-09-23T14:30:57.590,200000013174,6,3,Гомеопатичні лікарські засоби (стаття 19 Директиви № 2001/82/ЄС),Homeopathic medicinal products (Article 19 of Directive No 2001/82/EC),ua_22_19,false,null,null,null
20,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.918,2024-09-23T14:30:57.593,200000013175,9,3,Правова основа не охоплюється Директивою 2001/82/ЄC,Legal basis not covered by Directive 2001/82/EC,ua_22_20,false,null,null,Правова база до Директиви 2001/82/ЄC узгоджується з положенням Директиви 2001/82/ЄC. Це стосується заяви на торгову ліцензію, поданої до Директиви 2001/82/ЄC, і не визначає, якій правовій основі вона відповідатиме в Директиві 2001/82/ЄC.
21,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.921,2024-09-23T14:30:57.595,200000013177,9,1,Правова база переглянута відповідно до Acquis communautaire,Legal basis reviewed according to Acquis communautaire,ua_22_21,false,null,null,Вважається, що правова база до вступу до ЄС узгоджується з чинним положенням ЄС відповідно до acquis Communautaire.
22,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.924,2024-09-23T14:30:57.598,200000013178,9,1,Повна заява - нова діюча речовина (стаття 8 Регламенту (ЄС) 2019/6),Full application - new active substance (Article 8 of Regulation (EU) 2019/6),ua_22_22,false,null,null,null
23,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.927,2024-09-23T14:30:57.601,200000013181,9,1,Гібридна заява - зміна діючої(их) речовин(и) (стаття 19(1)(a) Регламенту (ЄС) 2019/6),Hybrid application - change in active substance(s) (Article 19(1)(a) of Regulation (EU) 2019/6),ua_22_23,false,null,null,null
24,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.929,2024-09-23T14:30:57.603,200000013184,9,1,Бібліографічна заява (стаття 22 Регламенту (ЄС) 2019/6),Bibliographic application (Article 22 of Regulation (EU) 2019/6),ua_22_24,false,null,null,null
25,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.931,2024-09-23T14:30:57.606,200000013185,9,1,Заяви на отримання дозволу для виходу на обмежені ринки (стаття 23 Регламенту (ЄС) 2019/6),Applications for limited markets (Article 23 of Regulation (EU) 2019/6),ua_22_25,false,null,null,null
26,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.933,2024-09-23T14:30:57.609,200000013186,8,1,Заяви на отримання дозволу за виняткових обставин (стаття 25 Регламенту (ЄС) 2019/6),Applications in exceptional circumstances (Article 25 of Regulation (EU) 2019/6),ua_22_26,false,null,null,null
27,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.935,2024-09-23T14:30:57.612,200000013906,3,3,Ветеринарні лікарські засоби, призначені для тварин, яких утримують виключно як домашніх тварин (стаття 5(6) Регламенту 2019/6),Veterinary medicinal products intended for animals exclusively kept as pets (article 5(6) of Reg 2019/6),ua_22_27,false,null,null,null
28,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.938,2024-09-23T14:30:57.616,200000013907,6,3,Препарати для паралельної торгівлі, як зазначено в статті 102 Регламенту 2019/6,Parallel traded products as referred to in article 102 of Regulation 2019/6,ua_22_28,false,null,null,null
29,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.940,2024-09-23T14:30:57.620,100000116046,8,1,Повна заява (стаття 8(3) Директиви № 2001/83/ЄС),Full application (Article 8(3) of Directive No 2001/83/EC),ua_22_29,false,null,null,null
30,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.943,2024-09-23T14:30:57.624,100000116047,4,1,Нова діюча речовина (стаття 8(3) Директиви № 2001/83/ЄС),New active substance (Article 8(3) of Directive No 2001/83/EC),ua_22_30,false,null,null,null
31,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.945,2024-09-23T14:30:57.628,100000116048,4,1,Відома діюча речовина (стаття 8(3) Директиви № 2001/83/ЄC),Known active substance (Article 8(3) of Directive No 2001/83/EC),ua_22_31,false,null,null,null
32,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.947,2024-09-23T14:30:57.632,100000116049,2,1,Заява на генерик, гібридна заява або заява на подібний біологічний препарат (стаття 10 Директиви № 2001/83/ЄС),Generic, hybrid or similar biological application (Article 10 of Directive No 2001/83/EC),ua_22_32,false,null,null,null
33,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.950,2024-09-23T14:30:57.636,100000116050,5,1,Заява на генерик (стаття 10(1) Директиви № 2001/83/ЄС),Generic application (Article 10(1) of Directive No 2001/83/EC),ua_22_33,false,null,null,null
34,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.952,2024-09-23T14:30:57.639,100000116051,4,1,Гібридн заява (стаття 10(3) Директиви № 2001/83/ЄС),Hybrid application (Article 10(3) of Directive No 2001/83/EC),ua_22_34,false,null,null,null
35,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.955,2024-09-23T14:30:57.644,100000116052,4,1,Подібна біологічна заява (стаття 10(4) Директиви № 2001/83/ЄС),Similar biological application (Article 10(4) of Directive No 2001/83/EC),ua_22_35,false,null,null,null
36,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.958,2024-09-23T14:30:57.648,100000116053,3,1,Зява на лікарський засіб з добре вивченим застосуванням (стаття 10а Директиви № 2001/83/ЄС),Well-established use application (Article 10a of Directive No 2001/83/EC),ua_22_36,false,null,null,null
37,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.961,2024-09-23T14:30:57.652,100000116054,5,1,Заява на фіксовану комбінацію (стаття 10b Директиви № 2001/83/ЄС),Fixed combination application (Article 10b of Directive No 2001/83/EC),ua_22_37,false,null,null,null
38,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.965,2024-09-23T14:30:57.656,100000116055,3,1,Заява інформованої згоди (стаття 10c Директиви № 2001/83/ЄC),Informed consent application (Article 10c of Directive No 2001/83/EC),ua_22_38,false,null,null,null
39,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.968,2024-09-23T14:30:57.660,100000116056,3,1,Заява на реєстрацію рослинного лікарського засобу для традиційного застосування (стаття 16а Директиви № 2001/83/ЄС),Traditional use registration for herbal medicinal product application (Article 16a of Directive No 2001/83/EC),ua_22_39,false,null,null,null
40,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.971,2024-09-23T14:30:57.664,100000116057,5,3,Повна заява (стаття 12(3) Директиви № 2001/82/ЄС),Full application (Article 12(3) of Directive No 2001/82/EC),ua_22_40,false,null,null,null
41,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.974,2024-09-23T14:30:57.668,100000116058,8,3,Повна заява - Нова діюча речовина (стаття 12(3) Директиви № 2001/82/ЄC),Full application - New active substance (Article 12(3) of Directive No 2001/82/EC),ua_22_41,false,null,null,null
42,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.978,2024-09-23T14:30:57.672,100000116059,7,1,Повна заява - відома діюча речовина (стаття 12(3) Директиви № 2001/82/EC),Full application - Known active substance (Article 12(3) of Directive No 2001/82/EC),ua_22_42,false,null,null,null
43,1.0,MarketingAuthorisationApplicationLegalBasis,2023-10-10T20:36:32.981,2024-09-23T14:30:57.675,100000116060,5,4,Заява на генерик, гібридна заява або заява на подібний біологічний препарат (стаття 13 Директиви № 2001/82/ЄС),Generic, hybrid or similar biological application (Article 13 of Directive No 2001/82/EC),ua_22_43,false,null,null,null
