no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.353,2024-09-23T10:23:29.453,220000000001,6,1,"Повна назва","Full name",ua_27_1,false,null,null,"Текстовий рядок. Повна назва лікарського засобу (бренду, генерику) згідно Розділу 1: “Назва лікарського засобу” відповідної SmPC або іншого нормативного документа, має бути зазначено відповідно до місцевої мови країни, де препарат зареєстровано та дозволено в обігу. Не повинен включати частини назви medicinal_product_name_part"
2,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.417,2024-09-23T10:23:29.481,220000000002,9,1,"Частина, що вказує на вигадану назву","Invented name part",ua_27_2,false,null,null,"Винайдена назва (торгова) Лікарського засобу без торгової марки або будь-яких інших подібних позначень, відображених у назві Лікарського засобу, може бути зазначено у вигляді тексту, якщо наявна.З метою полегшення точної ідентифікації відповідного ЛЗ для цілей фармаконагляду, якщо будь-який кваліфікатор [тобто Plus, Zydis] включений у повну назву, він повинен бути наданий у цьому елементі даних."
3,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.445,2024-09-23T10:23:29.484,220000000003,8,1,"Частина, що вказує на наукову назву","Scientific name part",ua_27_3,false,null,null,"null"
4,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.495,2024-09-23T10:23:29.487,220000000004,9,1,"Частина, що вказує на силу дії","Strength part",ua_27_4,false,null,null,"null"
5,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.512,2024-09-23T10:23:29.490,220000000005,8,1,"Частина, що вказує на фармацевтичну дозовану форму (?лікарську форму)","Pharmaceutical dose form part",ua_27_5,false,null,null,"null"
6,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.550,2024-09-23T10:23:29.492,220000000006,6,1,"Частина, що вказує на формулу (?склад)","Formulation part",ua_27_6,false,null,null,"null"
7,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.579,2024-09-23T10:23:29.530,220000000007,6,1,"Частина, що вказує на цільоване застосоування","Intended use part",ua_27_7,false,null,null,"null"
8,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.629,2024-09-23T10:23:29.535,220000000008,6,1,"Частина, що вказує на цільову популяцію","Target population part",ua_27_8,false,null,null,"null"
9,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.658,2024-09-23T10:23:29.540,220000000009,7,1,"Частина, що вказує на контейнер або упаковку","Container or pack part",ua_27_9,false,null,null,"null"
10,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.697,2024-09-23T10:23:29.544,220000000010,6,1,"Частина, що вказує на пристрій","Device part",ua_27_10,false,null,null,"null"
11,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.725,2024-09-23T10:23:29.547,220000000011,11,1,"Частина, що вказує на торгову марку або назву компанії","Trademark or company name part",ua_27_11,false,null,null,"null"
12,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.764,2024-09-23T10:23:29.551,220000000012,6,1,"Частина, що вказує на час/період","Time/Period part",ua_27_12,false,null,null,"null"
13,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.782,2024-09-23T10:23:29.555,220000000013,6,1,"Частина, що вказує на смак","Flavour part",ua_27_13,false,null,null,"null"
14,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.820,2024-09-23T10:23:29.558,220000000014,7,1,"Частина, що вказуэ на роздільник","Delimiter part",ua_27_14,false,null,null,"null"
15,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.837,2024-09-23T10:23:29.561,220000000015,5,1,"Спадкова назва","Legacy name",ua_27_15,false,null,null,"null"
16,1.0,MedicinalProductNamePartType,2023-10-11T13:42:06.887,2024-09-23T10:23:29.564,220000000016,5,1,"Частина , що вказує на назву цільових видів тварин","Target species name part",ua_27_16,false,null,null,"null"
