no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","1.0","Packaging","2024-10-18T15:12:18.264","2024-10-18T15:12:18.269","100000137702","84","1","Контейнер","Container","ua_30_1","false",null,null,"Елемент упаковки, який використовується для зберігання, ідентифікації та/або транспортування лікарського засобу. Використовувати лише там, де не застосовуються більш конкретні терміни. Специфічні характеристики контейнера визначені в інформації про лікарський засіб."
"2","1.0","Packaging","2024-10-18T15:12:18.278","2024-10-18T15:12:18.280","100000163233","1","5","диск","disk","ua_30_2","false",null,null,null
"3","1.0","Packaging","2024-10-18T15:12:18.283","2024-10-18T15:12:18.285","100000163234","1","5","поршень","plunger","ua_30_3","false",null,null,null
"4","1.0","Packaging","2024-10-18T15:12:18.288","2024-10-18T15:12:18.290","100000164143","3","4","інфузійний порт","infusion port","ua_30_4","false",null,null,null
"5","1.0","Packaging","2024-10-18T15:12:18.293","2024-10-18T15:12:18.295","100000166980","87","1","Клапан","Valve","ua_30_5","false",null,null,"закупорювальний засіб, який регулює вихід вмісту з контейнера (наприклад, газового балона) шляхом регулювання отвору вихідного каналу, зазвичай дозволяючи безперервний потік вмісту з контейнера; може бути вбудований пристрій, який контролює рух клапана. «Дозуючий клапан» і «розпилювальний клапан» виключені."
"6","1.0","Packaging","2024-10-18T15:12:18.297","2024-10-18T15:12:18.300","100000169899","5","3","Каністра","Jerrycan","ua_30_6","false",null,null,null
"7","1.0","Packaging","2024-10-18T15:12:18.302","2024-10-18T15:12:18.304","100000173982","85","1","Оральний аплікатор","Oral applicator","ua_30_7","false",null,null,"Пристрій для введення рідкої або напівтвердої лікарської форми в ротову порожнину. Цей термін можна використовувати для опису орального шприца у випадках, коли існує ризик помилки введення, напр. де подібний продукт часто вводять за допомогою ін’єкцій, наприклад, з вакцинами. Він може містити один або більше компонентів, необхідних для приготування кінцевого продукту (наприклад, розчинник), але він не містить кінцевий препарат або всі його компоненти; у таких випадках замість цього використовуйте «Попередньо наповнений оральний аплікатор»."
"8","1.0","Packaging","2024-10-18T15:12:18.306","2024-10-18T15:12:18.309","100000173983","82","1","Дозатор","Dose dispenser","ua_30_8","false",null,null,"Пристрій для відпуску заданої кількості лікарського засобу, наприклад автоматичний електронний лічильник. Попередньо наповнені ручки, попередньо наповнені шприци, інгалятори, дозувальні насоси тощо виключено."
"9","1.0","Packaging","2024-10-18T15:12:18.311","2024-10-18T15:12:18.313","100000174066","85","1","Однодозовий блістер","Unit-dose blister","ua_30_9","false",null,null,"Контейнер, що складається з двох шарів, один з яких має форму для розміщення окремої одиниці, зазвичай забезпечений перфорацією, метою якої є можливість відокремлення кожної окремої одиниці для введення окремої одиниці. Уся інформація, необхідна для блістерних упаковок, повинна міститися на кожній одиничній дозі. Пухирі та смужки виключені."
"10","1.0","Packaging","2024-10-18T15:12:18.316","2024-10-18T15:12:18.317","100000174067","84","1","Попередньо наповнений інжектор","Pre-filled injector","ua_30_10","false",null,null,"Наповнений контейнер, як правило, оснащений ін’єкційною голкою, яка може мати або не мати захисний пристрій для голки, містить стерильний однодозовий парентеральний препарат. Цей термін слід використовувати лише тоді, коли більш специфічний термін, наприклад «попередньо наповнений шприц» або «попередньо наповнена шприц-ручка», не підходить."
