no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.310,2024-09-23T13:21:22.002,220000005052,11,1,"Процедури реєстрації в ЄС - реєстрація традиційного застосування рослинних лікарських засобів","EU Registration Procedures - Traditional use registration for herbal medicinal products",ua_39_1,false,null,null,"null"
2,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.333,2024-09-23T13:21:22.042,220000005053,10,1,"Процедури реєстрації в ЄС - спрощена процедура реєстрації гомеопатичних лікарських засобів","EU Registration Procedures - Simplified registration procedure for homeopathic medicinal products",ua_39_2,false,null,null,"null"
3,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.334,2024-09-23T13:21:22.046,100000155059,14,1,"Централізована процедура","Centralised Procedure",ua_39_3,false,Централізована процедура,CP,"null"
4,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.336,2024-09-23T13:21:22.050,100000155060,16,1,"Децентралізована процедура","Decentralised Procedure",ua_39_4,false,Децентралізована процедура,DCP,"null"
5,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.337,2024-09-23T13:21:22.053,100000155061,13,1,"Процедура взаємного визнання","Mutual Recognition Procedure",ua_39_5,false,Процедура взаємного визнання,MRP,"null"
6,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.338,2024-09-23T13:21:22.057,100000155062,13,1,"Національна процедура","National Procedure",ua_39_6,false,Національна процедура,NP,"null"
7,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.339,2024-09-23T13:21:22.060,200000023345,6,1,"Інша процедура схвалення/ліцензування в ЄС","EU Other Approval/Authorisation Procedure",ua_39_7,false,null,null,"null"
8,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.341,2024-09-23T13:21:22.079,200000015759,9,1,"Процедура ліцензування за межами ЄС","Non-EU Authorisation Procedure",ua_39_8,false,Процедура ліцензування за межами ЄС,Non-EU,"null"
9,1.0,RegulatoryAuthorisationProcedureEU,2023-10-12T11:23:48.342,2024-09-23T13:21:22.082,200000016181,12,1,"Процедура подальшого визнання","Subsequent Recognition Procedure",ua_39_9,false,Процедура подальшого визнання,SRP,"Як зазначено в Регламенті 2019/6"
10,1.0,RegulatoryAuthorisationProcedureEU,2024-09-23T13:21:22.062,2024-09-23T13:21:22.067,200000026020,5,1,"Процедура паралельної торгівлі","Parallel Trade Procedure",ua_39_10,false,null,null,"null"
11,1.0,RegulatoryAuthorisationProcedureEU,2024-09-23T13:21:22.069,2024-09-23T13:21:22.071,200000027035,2,1,"Процедура реєстрації ветеринарних гомеопатичних лікарських засобів","Registration procedure for veterinary homeopathic medicinal products",ua_39_11,false,Гомеопатична реєстрація,Homeopathic registration,"Реєстрація гомеопатичного ветеринарного лікарського засобу, як зазначено в Розділі V Регламенту (ЄС) 2019/6"
12,1.0,RegulatoryAuthorisationProcedureEU,2024-09-23T13:21:22.073,2024-09-23T13:21:22.076,200000027034,6,1,"Звільнення від торгової ліцензії на ветеринарні лікарські засоби, призначені для тварин, які утримуються виключно як домашні тварини","Exemption to marketing authorisation for veterinary medicinal products intended for animals exclusively kept as pets",ua_39_12,false,Виключення для препаратів для тварин,Exemption for pet products,"Держави-члени можуть дозволити винятки щодо торгових ліцензій лише на ветеринарні лікарські засоби, призначені для тварин, яких утримують виключно як домашніх тварин: акваріумні чи ставкові тварини, декоративні риби, птахи, що утримуються в клітках, поштові голуби, тераріумні тварини, дрібні гризуни, тхори та кролики. Умови визначені в статті 5(6) Регламенту N°2019/6"
