no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
1,1.0,UnitsOfPresentation,2023-10-05T17:37:04.212,2024-09-23T14:49:01.514,200000016502,6,5,"Глобула","Globule",ua_54_1,false,null,null,"null"
2,1.0,UnitsOfPresentation,2023-10-05T17:37:04.224,2024-09-23T14:49:01.546,200000016503,7,5,"Плитка","Bar",ua_54_2,false,null,null,"null"
3,1.0,UnitsOfPresentation,2023-10-05T17:37:04.227,2024-09-23T14:49:01.549,200000016504,5,3,"Гомеопатичне розведення","Homeopathic dilution",ua_54_3,false,null,null,"null"
4,1.0,UnitsOfPresentation,2023-10-05T17:37:04.229,2024-09-23T14:49:01.690,200000002108,88,1,"Бочка","Barrel",ua_54_4,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одній бочці."
5,1.0,UnitsOfPresentation,2023-10-05T17:37:04.232,2024-09-23T14:49:01.693,200000002109,88,1,"Блістер","Blister",ua_54_5,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що знаходиться в одному блістері або однодозовій блістерній упаковці."
6,1.0,UnitsOfPresentation,2023-10-05T17:37:04.234,2024-09-23T14:49:01.695,200000002110,89,1,"Блок","Block",ua_54_6,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, який знаходиться в одній окремій одиниці, коли лікарська форма є блоком."
7,1.0,UnitsOfPresentation,2023-10-05T17:37:04.236,2024-09-23T14:49:01.698,200000002111,91,1,"Пляшка","Bottle",ua_54_7,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одній пляшці."
8,1.0,UnitsOfPresentation,2023-10-05T17:37:04.238,2024-09-23T14:49:01.701,200000002112,84,1,"Облатка","Cachet",ua_54_8,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одній окремій одиниці, коли лікарська форма є типом облатки."
9,1.0,UnitsOfPresentation,2023-10-05T17:37:04.241,2024-09-23T14:49:01.703,200000002113,88,1,"Капсула","Capsule",ua_54_9,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одній окремій одиниці, коли лікарська форма є типом капсули."
10,1.0,UnitsOfPresentation,2023-10-05T17:37:04.243,2024-09-23T14:49:01.706,200000002114,87,1,"Картридж","Cartridge",ua_54_10,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що знаходиться в одному картриджі."
11,1.0,UnitsOfPresentation,2023-10-05T17:37:04.245,2024-09-23T14:49:01.708,200000002115,86,1,"Нашийник","Collar",ua_54_11,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що знаходиться в одній окремій одиниці, коли лікарська форма є типом нашийника."
12,1.0,UnitsOfPresentation,2023-10-05T17:37:04.248,2024-09-23T14:49:01.711,200000002116,91,1,"Контейнер","Container",ua_54_12,false,null,null,"Одиниця форми випуску, що використовується для представлення кількості препарату, що міститься в одному контейнері, коли більш специфічний термін контейнера не застосовується."
13,1.0,UnitsOfPresentation,2023-10-05T17:37:04.251,2024-09-23T14:49:01.714,200000002117,90,1,"Чашка","Cup",ua_54_13,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, який вводиться шляхом наповнення однієї чашки пристрою для введення."
14,1.0,UnitsOfPresentation,2023-10-05T17:37:04.253,2024-09-23T14:49:01.717,200000002118,87,1,"Балон","Cylinder",ua_54_14,false,null,null,"Одиниця форми випуску, що використовується для представлення кількості препарату, що міститься в одному контейнері типу балон."
15,1.0,UnitsOfPresentation,2023-10-05T17:37:04.256,2024-09-23T14:49:01.719,200000002119,83,1,"Дротик","Dart",ua_54_15,false,null,null,"Одиниця представлення, яка використовується для представлення кількості препарату, який знаходиться в одному дротику."
16,1.0,UnitsOfPresentation,2023-10-05T17:37:04.258,2024-09-23T14:49:01.722,200000002120,87,1,"Перев'язувальний матеріал","Dressing",ua_54_16,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, який знаходиться в одній окремій одиниці, коли лікарська форма є типом перев’язувального матеріалу."
17,1.0,UnitsOfPresentation,2023-10-05T17:37:04.261,2024-09-23T14:49:01.724,200000002121,89,1,"Крапля","Drop",ua_54_17,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, яка вводиться з однією краплею, що вийшла з крапельниці або еквівалентного пристрою для введення."
18,1.0,UnitsOfPresentation,2023-10-05T17:37:04.264,2024-09-23T14:49:01.727,200000002122,88,1,"Плівка","Film",ua_54_18,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одній окремій одиниці, якщо лікарська форма є типом плівки."
19,1.0,UnitsOfPresentation,2023-10-05T17:37:04.267,2024-09-23T14:49:01.729,200000002123,87,1,"Жувальна гумка","Chewing gum",ua_54_19,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одній окремій одиниці, якщо лікарська форма є типом лікувальної жувальної гумки."
20,1.0,UnitsOfPresentation,2023-10-05T17:37:04.271,2024-09-23T14:49:01.732,200000002124,89,1,"Імплантат","Implant",ua_54_20,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, який знаходиться в одній окремій одиниці, якщо лікарська форма є типом імплантату."
21,1.0,UnitsOfPresentation,2023-10-05T17:37:04.275,2024-09-23T14:49:01.735,200000002125,90,1,"Інгалятор","Inhaler",ua_54_21,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одному контейнері-інгаляторі."
22,1.0,UnitsOfPresentation,2023-10-05T17:37:04.278,2024-09-23T14:49:01.737,200000002126,87,1,"Вкладка","Insert",ua_54_22,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що знаходиться в одній окремій одиниці, коли лікарська форма є типом вкладки."
23,1.0,UnitsOfPresentation,2023-10-05T17:37:04.281,2024-09-23T14:49:01.740,200000002127,88,1,"Банка","Jar",ua_54_23,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, що міститься в одній банці."
24,1.0,UnitsOfPresentation,2023-10-05T17:37:04.284,2024-09-23T14:49:01.742,200000002128,89,1,"Льодяник","Lozenge",ua_54_24,false,null,null,"Одиниця форми випуску, яка використовується для представлення кількості препарату, який міститься в одній окремій одиниці, коли лікарська форма є типом льодяника."
