no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","1.0","AdministrationMethod","2023-10-11T16:43:15.079","2024-09-23T10:57:02.823","200000002034","79","1","Спалювання","Burning","ua_3_1","false",null,null,"Введення лікарського засобу шляхом його запалювання з метою виділення диму, який поглинається суб’єктом."
"2","1.0","AdministrationMethod","2023-10-11T16:43:15.103","2024-09-23T10:57:02.859","200000002035","81","1","Діаліз","Dialysis","ua_3_2","false",null,null,"Введення лікарського засобу шляхом включення в систему діалізу (наприклад, гемодіаліз, гемофільтрація, перитонеальний діаліз) як діалізний або замісний препарат."
"3","1.0","AdministrationMethod","2023-10-11T16:43:15.105","2024-09-23T10:57:02.863","200000002036","79","1","Імплантація","Implantation","ua_3_3","false",null,null,"Введення лікарського засобу шляхом розміщення його в тканині тіла, як правило, в рамках хірургічної процедури."
"4","1.0","AdministrationMethod","2023-10-11T16:43:15.106","2024-09-23T10:57:02.867","200000002038","82","1","Введення","Administration","ua_3_4","false",null,null,"Введення лікарського засобу одним із різноманітних неспецифічних методів. Використовується лише у випадках, коли не застосовується більш конкретний термін."
"5","1.0","AdministrationMethod","2023-10-11T16:43:15.107","2024-09-23T10:57:02.870","200000002039","82","1","Аплікація","Application","ua_3_5","false",null,null,"Введення лікарського засобу шляхом накладання або нанесення його на уражену ділянку."
"6","1.0","AdministrationMethod","2023-10-11T16:43:15.108","2024-09-23T10:57:02.873","200000002040","79","1","Купання","Bathing","ua_3_6","false",null,null,"Введення лікарського засобу шляхом занурення в нього ураженої ділянки або частини, іноді на тривалий період часу."
"7","1.0","AdministrationMethod","2023-10-11T16:43:15.109","2024-09-23T10:57:02.875","200000002041","78","1","Жування","Chewing","ua_3_7","false",null,null,"Введення лікарського засобу шляхом його подрібнення або перетирання зубами; після розжовування деякі препарати призначені для ковтання, деякі – для випльовування."
"8","1.0","AdministrationMethod","2023-10-11T16:43:15.110","2024-09-23T10:57:02.878","200000002042","79","1","Полоскання горла","Gargling","ua_3_8","false",null,null,"Введення лікарського засобу шляхом полоскання ним горла та/або ротової порожнини, утримування його в горлі та підтримання його в русі шляхом випускання струменя повітря з легень; після полоскання горла препарат зазвичай призначений для випльовування."
"9","1.0","AdministrationMethod","2023-10-11T16:43:15.112","2024-09-23T10:57:02.880","200000002043","79","1","Інфузія","Infusion","ua_3_9","false",null,null,"Введення лікарського засобу, як правило, повільно та у більших обсягах, ніж для ін’єкції, шляхом введення його в організм, як правило, після проколу шкіри; зазвичай його вводять внутрішньовенно, але іноді й іншими шляхами, напр. підшкірно."
"10","1.0","AdministrationMethod","2023-10-11T16:43:15.113","2024-09-23T10:57:02.883","200000002044","79","1","Інгаляція","Inhalation","ua_3_10","false",null,null,"Введення лікарського засобу шляхом вдихання його в легені, зазвичай через рот."
"11","1.0","AdministrationMethod","2023-10-11T16:43:15.114","2024-09-23T10:57:02.886","200000002045","79","1","Ін'єкція","Injection","ua_3_11","false",null,null,"Введення лікарського засобу шляхом його введення в організм, як правило, після проколу шкіри; можна вказати один або декілька шляхів введення, найбільш поширеними є внутрішньовенний, внутрішньом’язовий і підшкірний."
"12","1.0","AdministrationMethod","2023-10-11T16:43:15.115","2024-09-23T10:57:02.888","200000002046","78","1","Вкладка","Insertion","ua_3_12","false",null,null,"Введення лікарського засобу шляхом розміщення його в порожнині тіла, ураженій ділянці, рані тощо."
"13","1.0","AdministrationMethod","2023-10-11T16:43:15.116","2024-09-23T10:57:02.891","200000002047","79","1","Інстиляція","Instillation","ua_3_13","false",null,null,"Введення лікарського засобу по краплях на або в уражену ділянку."
"14","1.0","AdministrationMethod","2023-10-11T16:43:15.118","2024-09-23T10:57:02.893","200000002048","80","1","Ородисперсія","Orodispersion","ua_3_14","false",null,null,"Введення лікарського засобу шляхом розміщення його в ротовій порожнині та дозволивши йому розчинитися; препарат зазвичай ковтають."
"15","1.0","AdministrationMethod","2023-10-11T16:43:15.119","2024-09-23T10:57:02.896","200000002049","78","1","Полоскання/промивання","Rinsing/washing","ua_3_15","false",null,null,"Введення лікарського засобу шляхом контактування з ураженою ділянкою протягом короткого періоду часу, напр. виливши його на ділянку і дозволивши йому стекти, або промокнувши ним навколо ділянки, а потім видаливши."
"16","1.0","AdministrationMethod","2023-10-11T16:43:15.120","2024-09-23T10:57:02.898","200000002050","80","1","Розпилення","Spraying","ua_3_16","false",null,null,"Введення лікарського засобу шляхом розпилення або іншого розсіювання його у вигляді дрібної дисперсії частинок у повітря, спрямовуючи його таким чином, щоб він вступив у контакт з ураженою ділянкою."
"17","1.0","AdministrationMethod","2023-10-11T16:43:15.121","2024-09-23T10:57:02.901","200000002051","78","1","Смоктання","Sucking","ua_3_17","false",null,null,"Введення лікарського засобу шляхом розміщення його в ротовій порожнині та сприяючи його розчиненню в слині, як правило, рухаючи язиком."
"18","1.0","AdministrationMethod","2023-10-11T16:43:15.122","2024-09-23T10:57:02.903","200000002052","79","1","Ковтання","Swallowing","ua_3_18","false",null,null,"Введення лікарського засобу шляхом потрапляння його в шлунок через рот і стравохід за допомогою довільної дії м'язів."
"19","1.0","AdministrationMethod","2023-10-11T16:43:15.123","2024-09-23T10:57:02.906","200000002053","79","1","Не вказано","Not specified","ua_3_19","false",null,null,"Введення лікарського засобу невизначеним способом."
