no,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.669","2024-09-19T17:19:07.674","200000017695","11","1","Ветеринарний лікарський засіб, що відпускається без ветеринарного рецепта","Veterinary medicinal product not subject to veterinary prescription","ua_20_1","false",null,null,null
"2","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.677","2024-09-19T17:19:07.680","200000017698","13","1","Ветеринарний лікарський засіб, що відпускається за ветеринарним рецептом","Veterinary medicinal product subject to veterinary prescription","ua_20_2","false",null,null,"Цей термін охоплює всі категорії статті 34(1): - Ветеринарні ЛЗ для харчових тварин - антимікробні ветеринарні ЛЗ - ветеринарні ЛЗ, які вимагають попередньої діагностики - евтаназія - Активна речовина, яка використовувалася менше 5 років - імунологічні ветеринарні ЛЗ - Дир.96/22 гормональні, тиреостатичні або бета-агоністи."
"3","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.683","2024-09-19T17:19:07.687","200000017699","11","1","Ветеринарний лікарський засіб, що відпускається за ветеринарним рецептом, за винятком декількох розмірів упаковки","Veterinary medicinal product subject to veterinary prescription except for some pack sizes","ua_20_3","false",null,null,"У деяких державах-членах правовий статус постачання може відрізнятися для різних розмірів упаковки одного й того самого лікарського засобу."
"4","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.690","2024-09-19T17:19:07.693","100000157313","10","1","Лікарський засіб, що відпускається за спеціальним рецептом лікаря та підлягає предметно-кількісному обліку","Medicinal product subject to special and restricted medical prescription","ua_20_4","false","ЛЗ, що відпускається за спеціальним рецептом лікаря та підлягає предметно-кількісному обліку","MP subject to special and restricted medical prescription","Настанова щодо правового статусу постачання пацієнтам централізовано ліцензованих засобів (EMEA/186279/2006), що опублікована в 2006 році"
"5","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.696","2024-09-19T17:19:07.700","200000027067","3","1","Ветеринарний лікарський засіб, що відпускається без ветеринарного рецепта, вільна торгівля для сільськогосподарських тварин","Veterinary medicinal product not subject to veterinary prescription, free trade for food-producing animals","ua_20_5","false",null,null,"Вільна торгівля ветеринарними ЛЗ, які не підлягають ветеринарному рецепту, призначені лише для тварин, які використовуються для виробництва харчових продуктів."
"6","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.703","2024-09-19T17:19:07.707","200000027068","3","1",null,"`","ua_20_6","false",null,null,"Вільна торгівля ветеринарними ЛЗ без рецепта ветеринара, призначених лише для тварин-компаньйонів (тварин, які не використовуються в харчових продуктах)"
"7","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.710","2024-09-19T17:19:07.714","200000027069","4","1","Ветеринарний лікарський засіб, що відпускається без ветеринарного рецепта роздрібними торговцями","Veterinary medicinal product not subject to veterinary prescription, dispensed by retailers","ua_20_7","false",null,null,"Ветеринарні ЛЗ які не виписуються за ветеринарним рецептом, продаються лише роздрібними торговцями — особами, яким національним законодавством дозволено продавати ветеринарні ЛЗ відповідно до статті 103(1). Цей термін охоплює аптеки та/або ветеринарів залежно від національного законодавства держав-членів."
"8","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.718","2024-09-19T17:19:07.722","200000027070","3","1","Лікарські корми, що реалізуються комбікормовими заводами лише за ветеринарним рецептом","Medicated feedingstuffs retailed by feedmills only under veterinary prescription","ua_20_8","false",null,null,null
"9","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.725","2024-09-19T17:19:07.728","200000027071","3","1","Ветеринарний лікарський засіб, що відпускається за ветеринарним рецептом, наркотичний","Veterinary medicinal product subject to veterinary prescription, narcotic","ua_20_9","false",null,null,"Ветеринарні ЛЗ, які містять психотропні препарати, включаючи ті, що охоплені Єдиною конвенцією ООН про психотропні речовини 1971 року, Конвенцією ООН проти незаконного обігу наркотичних засобів і психотропних речовин 1988 року."
"10","1.0","LegalStatusForTheSupply","2024-09-19T17:19:07.731","2024-09-19T17:19:07.736","200000027072","3","1","Ветеринарний лікарський засіб, що відпускається за ветеринарним рецептом, що є наркотичним засобом для застосування під ветеринарним або спеціальним наглядом","Veterinary medicinal product subject to veterinary prescription, narcotic for use under veterinary or special supervision","ua_20_10","false",null,null,null
