no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.450","2024-09-23T14:26:35.996","200000017707","9","1","Дійсна - Передана торгова ліцензія","Valid - Transferred marketing authorisation","ua_40_1","false",null,null,null
"2","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.483","2024-09-23T14:26:36.035","200000017708","11","1","Дійсна - Оновлена/змінена","Valid - Renewed/Varied","ua_40_2","false",null,null,"Регуляторне право надається регуляторним органом після процедури поновлення або зміни та є повністю діючим/дійсним/активним. Примітка: враховуючи те, що номери торгових ліцензій можуть змінюватися після процедури поновлення або внесення змін і, можливо, необхідно оновити записи про препарат, цей окремий термін необхідний для оновлених або змінених лікарських засобів."
"3","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.485","2024-09-23T14:26:36.066","200000010409","15","1","Відмова від права","Surrendered","ua_40_3","false",null,null,"Регуляторне право, відкликане власником після його надання."
"4","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.486","2024-09-23T14:26:36.070","100000072097","9","4","Отримана заява","Application received","ua_40_4","false",null,null,"Отримано заяву на торгову ліцензію."
"5","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.487","2024-09-23T14:26:36.073","100000072098","9","4","Заява відкликана","Application withdrawn","ua_40_5","false",null,null,"Заява відкликана заявником до видачі торгової ліцензії"
"6","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.490","2024-09-23T14:26:36.076","100000072099","19","1","Дійсна","Valid","ua_40_6","false",null,null,"Заява на отримання торгової ліцензії схвалена."
"7","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.492","2024-09-23T14:26:36.079","100000072100","16","1","Закінчився термін дії","Expired","ua_40_7","false",null,null,"Заяву на подовження терміну дії не отримано."
"8","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.494","2024-09-23T14:26:36.082","100000072110","9","4","Заява не прийнята","Application not accepted","ua_40_8","false",null,null,"Заява на торгову ліцензію не прийнята до оцінки."
"9","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.496","2024-09-23T14:26:36.085","100000072111","9","4","Заява відхилена","Application rejected","ua_40_9","false",null,null,"Заява на торгову ліцензію відхилена регуляторним органом після оцінки."
"10","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.498","2024-09-23T14:26:36.088","100000072112","17","1","Не оновлена","Not renewed","ua_40_10","false",null,null,"Заяву на поновлення відхилено регуляторним органом після оцінки."
"11","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.500","2024-09-23T14:26:36.091","100000072113","18","1","Відкликана","Withdrawn","ua_40_11","false",null,null,"Відкликано власником торгової ліцензії після отримання торгової ліцензії"
"12","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.501","2024-09-23T14:26:36.094","100000072114","14","1","Відкликана, не вказано","Withdrawn, unspecified","ua_40_12","false",null,null,"Відкликано після торгової ліцензії - не вказано."
"13","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.503","2024-09-23T14:26:36.096","100000072121","18","1","Анульована","Revoked","ua_40_13","false",null,null,"Відкликано після отримання торгової ліцензії регуляторним органом."
"14","null","null","1.0","RegulatoryEntitlementStatus","2023-10-12T10:50:16.504","2024-09-23T14:26:36.099","100000072122","15","1","Призупинена","Suspended","ua_40_14","false",null,null,"Призупинена торгова ліцензія означає, що торгова ліцензія все ще є дійсною, але тим часом лікарський засіб з певних причин не повинен розміщуватися на ринку."
