no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.925","2024-09-20T17:44:29.783","100000157797","85","1","Внутрішньогляндулярне застосування","Intraglandular use","ua_43_1","false",null,null,"Введення лікарського засобу безпосередньо в залозу, зазвичай шляхом ін’єкції. Використовувати лише там, де не застосовуються більш специфічні терміни, такі як «інтрапростатичне застосування» та «інтрамаммарне застосування»."
"2","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.937","2024-09-20T17:44:29.786","100000170084","94","1","Субретинальне застосування (введення під сітківку)","Subretinal use","ua_43_2","false",null,null,"Введення лікарського засобу між сенсорною сітківкою (нервовою сітківкою) та пігментним епітелієм сітківки ока."
"3","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.940","2024-09-20T17:44:29.788","100000170279","92","1","Інтрацеребровентрикулярне застосування","Intracerebroventricular use","ua_43_3","false",null,null,"Введення лікарського засобу в шлуночки (систему церебральних шлуночків) головного мозку."
"4","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.943","2024-09-20T17:44:29.791","100000170847","7","3","Грубе розпилення","Coarse spray","ua_43_4","false",null,null,null
"5","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.945","2024-09-20T17:44:29.797","100000155948","88","1","Інтрапортальне застосування","Intraportal use","ua_43_5","false",null,null,"Ін’єкція/інфузія лікарського засобу у ворітну вену печінки для локальної доставки в печінку."
"6","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.948","2024-09-20T17:44:29.800","100000156091","84","1","Інтрахолангіопанкреатичне застосування","Intracholangiopancreatic use","ua_43_6","false",null,null,"Ін’єкція лікарського засобу в жовчні протоки та протоки підшлункової залози, наприклад, через канюлю, введену в ампулу Фатера (загальний отвір проток), зазвичай для введення контрастної речовини для таких методів, як ендоскопічна ретроградна холангіопанкреатографія ( ЕРХПГ)."
"7","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.950","2024-09-20T17:44:29.802","100000156092","85","1","Перитуморальне застосування","Peritumoral use","ua_43_7","false",null,null,"Введення лікарського засобу безпосередньо в ділянку навколо пухлини."
"8","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.952","2024-09-20T17:44:29.824","200000010603","60","1","Інтрапутамінальне застосування (застосування всередині лушпини)","Intraputaminal use","ua_43_8","false",null,null,"Введення лікарського засобу в одну або обидві оболонки головного мозку."
"9","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.954","2024-09-20T17:44:29.827","200000010644","59","1","Трансплацентарний","Transplacental","ua_43_9","false",null,null,"Внутрішньоутробний вплив на ембріон/плід лікарського засобу, який вводили вагітній матері."
"10","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.956","2024-09-20T17:44:29.830","200000010643","62","1","Місцеве","Topical","ua_43_10","false",null,null,"Введення лікарського засобу невизначеним шляхом, включаючи застосування на шкірі або слизовій, за винятком перорального та парентерального введення. Цей термін слід використовувати лише у разі, коли неможливо визначити один конкретний шлях введення (наприклад, «шкірне застосування»)."
"11","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.959","2024-09-20T17:44:29.833","200000010645","58","1","Внутрішньовим'янний","Transmammary","ua_43_11","false",null,null,"Вплив лікарського засобу на немовля на грудному вигодовуванні, що вводиться матері, яка годує груддю."
"12","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.961","2024-09-20T17:44:29.836","200000012510","7","3","Інстиляція","Instillation","ua_43_12","false",null,null,null
"13","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.964","2024-09-20T17:44:29.840","100000073564","87","1","Аурикулярне застосування (Вушне застосування)","Auricular use","ua_43_13","false",null,null,"Введення лікарського засобу у вухо."
"14","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.967","2024-09-20T17:44:29.844","100000073565","84","1","Занурювання дзьоба","Beak dipping","ua_43_14","false",null,null,"Введення ветеринарного лікарського засобу шляхом занурення дзьоба птахів у водний розчин лікарського засобу."
"15","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.970","2024-09-20T17:44:29.848","100000073566","88","1","Нашкірне застосування","Cutaneous use","ua_43_15","false",null,null,"Нанесення лікарського засобу на шкіру та/або шкірні рани та/або нігті та/або волосся з метою отримання місцевого ефекту."
"16","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.973","2024-09-20T17:44:29.853","100000073567","85","1","Застосування у стоматології","Dental use","ua_43_16","false",null,null,"Введення лікарського засобу до та/або в зуби або, на та/або навколо нервів, що живлять зуби."
"17","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.976","2024-09-20T17:44:29.857","100000073568","85","1","Занурення","Dipping","ua_43_17","false",null,null,"Введення ветеринарного лікарського засобу шляхом занурення тварини у ванну або глибоководний басейн, що містить лікарський засіб."
"18","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.980","2024-09-20T17:44:29.862","100000073569","86","1","Ендоцервікальне застосування","Endocervical use","ua_43_18","false",null,null,"Введення лікарського засобу в шийку матки."
"19","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.983","2024-09-20T17:44:29.866","100000073570","86","1","Ендосинусіальне застосування","Endosinusial use","ua_43_19","false",null,null,"Введення лікарського засобу в носові пазухи для отримання місцевого ефекту."
"20","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.987","2024-09-20T17:44:29.871","100000073571","89","1","Ендотрахеопульмональне застосування","Endotracheopulmonary use","ua_43_20","false",null,null,"Введення лікарського засобу в трахею та/або бронхи шляхом інстиляції (виключаються препарати для інгаляцій; див. застосування для інгаляцій)."
"21","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.990","2024-09-20T17:44:29.876","100000073572","84","1","Епідуральне застосування","Epidural use","ua_43_21","false",null,null,"Ін'єкція лікарського засобу в епідуральний простір."
"22","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.994","2024-09-20T17:44:29.881","100000073573","85","1","Епілезійне застосування","Epilesional use","ua_43_22","false",null,null,"Нанесення лікарського засобу на вогнище ураження."
"23","null","null","1.0","RoutesAndMethodsOfAdministration","2023-10-10T20:55:58.997","2024-09-20T17:44:29.886","100000073574","85","1","Екстраамніотичне застосування","Extraamniotic use","ua_43_23","false",null,null,"Ін'єкція лікарського засобу між хоріоном і амніоном."
