no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.713","2024-09-20T12:02:13.724","100000073403","4","1","Термін придатності лікарського засобу в упаковці для продажу","Shelf life of the medicinal product as packaged for sale","ua_44_1","false","закрита упаковка","closed package",null
"2","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.727","2024-09-20T12:02:13.731","100000073404","5","1","Термін придатності після першого відкриття первинної упаковки","Shelf life after first opening the immediate packaging","ua_44_2","false","після першого відкриття","after first opening",null
"3","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.735","2024-09-20T12:02:13.740","100000073405","6","1","Термін придатності  після розчинення або розведення відповідно до інструкцій","Shelf life after dilution or reconstitution according to directions","ua_44_3","false","після першого відкриття","after reconstitution/dilution",null
"4","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.743","2024-09-20T12:02:13.747","100000073406","4","1","Термін придатності від часу виготовлення","Shelf life from manufacturing time","ua_44_4","false","від часу виготовлення","from manufacturing time","Це термін придатності, який розраховується з моменту виробництва і застосовується до радіофармацевтичних лікарських засобів."
"5","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.749","2024-09-20T12:02:13.755","100000073407","6","1","Термін придатності від референтного часу активності, зазначеного на маркуванні","Shelf life from the activity reference time stated on the label","ua_44_5","false","від референтного часу активності, зазначеного на маркуванні","from the activity reference time stated on the label","Це термін придатності (міра активності), оцінений на основі реферернтного часу активності, зазначеного на маркуванні, і застосовується до радіофармацевтичних лікарських засобів"
"6","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.758","2024-09-20T12:02:13.763","100000073408","6","1","Термін придатності у разі відпуску одиничних доз","Shelf life in unit-dose dispensing","ua_44_6","false","у разі відпуску одиничних доз","in unit-dose dispensing","Цей термін придатності використовується для специфічного способу відпуску - відпуску дози. Відпуск дози означає, що зазвичай в аптеці або лікарняній аптеці лікарський засіб поміщають у контейнер-дозатор для окремого використання. Контейнер-дозатор може містити одну або більше доз одного або кількох лікарських засобів. Відпуск доз, як правило, здійснюється: -окремим особам, закладам і компаніям, які пов’язані з лікуванням пацієнтів, службами порятунку тощо, які використовують лікарські засоби для лікування пацієнтів -окремих (названих) пацієнтів, які перебувають на лікуванні в лікарні чи іншому закладі - інших певних (названих) пацієнтів."
"7","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.770","2024-09-20T12:02:13.774","100000073409","4","1","Термін придатності після включення в шрот або гранульований корм","Shelf life after incorporation into meal or pelleted feed","ua_44_7","false","після включення ","after incorporation",null
"8","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.777","2024-09-20T12:02:13.781","200000002326","2","4","Термін придатності до відкриття за альтернативних умов","Shelf-life before opening at alternative conditions","ua_44_8","false","До відкриття за альтернативних умов","Before opening at alternative conditions","Для використання, напр. коли продукт має зберігатися при 2-8°C, але також може зберігатися при ≤ 25°C протягом коротшого періоду часу у нерозкритому вигляді."
"9","null","null","1.0","ShelfLifeType","2024-09-20T12:02:13.783","2024-09-20T12:02:13.787","200000002327","2","4","Термін придатності після першого відкриття захисної упаковки","Shelf life after first opening of the protection packaging","ua_44_9","false","після першого відкриття захисної упаковки","After first opening of protection packaging","Для використання напр. для блістерів або однодозових контейнерів для очних крапель, що зберігаються в алюмінієвому пакеті для захисту від світла та/або вологи."
"10","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності після відновлення",null,"ua_44_10","true",null,null,null
"11","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності готової суспензії",null,"ua_44_11","true",null,null,null
"12","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності перед застосуванням",null,"ua_44_12","true",null,null,null
"13","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності після розморожування",null,"ua_44_13","true",null,null,null
"14","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності після змішування вмісту",null,"ua_44_14","true",null,null,null
"15","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності якщо препарат не був застосований одразу",null,"ua_44_15","true",null,null,null
"16","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності після першого використання",null,"ua_44_16","true",null,null,null
"17","null","null","1.0","ShelfLifeType","2025-03-14T16:06:12.738","2025-03-14T16:06:12.738",null,"1","1","*Термін придатності під час застосування",null,"ua_44_17","true",null,null,null
