no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.345","2024-09-23T16:22:34.603","100000167409","2","1","Словник EudraVigilance ветеринарних лікарських засобів","EudraVigilance Veterinary Medicinal Product Dictionary","ua_45_1","false","Словник EudraVigilance ветеринарних лікарських засобів","EVVetMPD",null
"2","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.371","2024-09-23T16:22:34.638","100000167410","2","1","Довідник EudraVigilance щодо лікарських засобів для людини – активний","EudraVigilance Human – Active Directory","ua_45_2","false","Довідник EudraVigilance щодо лікарських засобів для людини – активний","EV H – AD",null
"3","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.373","2024-09-23T16:22:34.641","100000167412","2","1","Довідник EudraVigilance для ветеринарних препаратів – активний","EudraVigilance Vet – Active Directory","ua_45_3","false","Довідник EudraVigilance для ветеринарних препаратів – активний","EV V – AD",null
"4","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.375","2024-09-23T16:22:34.644","100000167429","3","1","Європейська база даних інспекцій","European Inspections Database","ua_45_4","false","Європейська база даних ліцезій на виробництво та оптову дистриб'юцію","EudraGMDP","EudraGMDP — це назва бази даних Союзу, про яку йдеться в статті 111(6) Директиви 2001/83/ЄC і статті 80(6) Директиви 2001/82/ЄC. Вона містить наступну інформацію: • Ліцензії на виробництво та імпорт • Сертифікати належної виробничої практики (GMP). • Заяви про невідповідність GMP • Планування інспекцій GMP у третіх країнах • Ліцензії на оптову дистрибуцію • Сертифікати належної дистрибуції (GDP) • Заяви про невідповідність GDP • Реєстрація виробників, імпортерів і дистриб’юторів активних речовин для людини, розташованих у ЄЕЗ"
"5","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.376","2024-09-23T16:22:34.649","100000167430","3","1","База даних EMA малих і середніх підприємств","EMA Small and Medium-sized enterprise (SME) database","ua_45_5","false","База даних EMA малих і середніх підприємств","EMA SME Database","База даних Агентства, що підтримує інформацію про процедури, пов'язані з діяльністю малих і середніх підприємств."
"6","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.378","2024-09-23T16:22:34.652","100000167431","8","1","Ідентифікатор клієнта EMA SAP","EMA SAP Customer Identifier","ua_45_6","false","клієнт EMA SAP","EMA SAP-customer","Фінансова система підприємств Агентства."
"7","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.380","2024-09-23T16:22:34.654","100000167435","4","1","Глобальний номер розташування GS1","GS1 Global Location Number","ua_45_7","false","Глобальний номер розташування GS1","GS1 GLN","Ідентифікаційний ключ GS1, який використовується для ідентифікації фізичних місць або сторін."
"8","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.382","2024-09-23T16:22:34.657","100000167446","2","1","Ідентифікатор організації в системі управління організації (OMS)","OMS Organisation Identifier","ua_45_8","false","Ідентифікатор організації в системі управління організації (OMS)","OMS Org_ID","Ідентифікатор організації, який використовується для унікальної ідентифікації організацій в системі управління організації (OMS)."
"9","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.385","2024-09-23T16:22:34.659","100000167449","4","1","Універсальна система нумерації даних Dun & Bradstreet","Dun & Bradstreet’s Data Universal Numbering System","ua_45_9","false","Універсальна система нумерації даних Dun & Bradstreet","DUNS","Створена в 1963 році Універсальна система нумерації даних Dun & Bradstreet, широко відома як номер D-U-N-S, є унікальною глобальною системою ідентифікації підприємств, яка ідентифікує, валідує та дає посилання на понад 240 мільйонів компаній у всьому світі. Номер D-U-N-S — це дев’ятизначний неіндикативний порядок номерів, який призначається на найнижчому організаційному рівні, тобто місцезнаходження підприємства з унікальною, окремою та визначеною діяльністю."
"10","null","null","1.0","SourceOfInformation","2023-10-12T12:02:18.386","2024-09-23T16:22:34.662","100000167473","2","1","Ідентифікатор розташування в системі управління організації (OMS)","OMS Location Identifier","ua_45_10","false","Ідентифікатор розташування в системі управління організації (OMS)","OMS Loc_ID","Ідентифікатор розташування, який використовується для унікальної ідентифікації фізичного розташування в системі управління організації (OMS)."
