no,atc,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.696","2024-09-20T11:52:26.717","100000155939","6","1","Зберігати при температурі нижче  -140°C у паровій фазі рідкого азоту","Store at temperatures below -140°C in the vapour phase of liquid nitrogen","ua_46_1","false",null,null,null
"2","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.720","2024-09-20T11:52:26.724","100000159361","6","1","Не піддавати сильному нагріванню","Do not expose to extreme heat","ua_46_2","false",null,null,null
"3","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.727","2024-09-20T11:52:26.730","200000029586","5","1","Докладна інформація про особливі запобіжні заходи щодо зберігання наведена в затвердженій короткій характеристиці  лікарського засобу","Detailed special precautions for storage are provided in the approved SmPC","ua_46_3","false",null,null,null
"4","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.733","2024-09-20T11:52:26.736","200000010387","4","1","Берегти від тепла","Protect from heat","ua_46_4","false",null,null,null
"5","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.738","2024-09-20T11:52:26.741","200000010388","3","1","Зберігати у вертикальному положенні","Store upright","ua_46_5","false",null,null,null
"6","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.744","2024-09-20T11:52:26.746","100000073410","6","1","Зберігати при температурі не вище 25°C","Do not store above 25°C","ua_46_6","false",null,null,null
"7","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.749","2024-09-20T11:52:26.752","100000073411","6","1","Зберігати при температурі не вище 30°C","Do not store above 30°C","ua_46_7","false",null,null,null
"8","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.754","2024-09-20T11:52:26.757","100000073412","2","1","Зберігати при температурі нижче 25°C","Store below 25°C","ua_46_8","false",null,null,null
"9","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.759","2024-09-20T11:52:26.763","100000073413","2","1","Зберігати при температурі нижче 30°C","Store below 30°C","ua_46_9","false",null,null,null
"10","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.765","2024-09-20T11:52:26.768","100000073414","3","1","Зберігати в холодильнику (2°C – 8°C)","Store in a refrigerator (2°C – 8°C)","ua_46_10","false",null,null,null
"11","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.771","2024-09-20T11:52:26.774","100000073415","3","1","Зберігати та транспортувати в холодильнику (2°C – 8°C)","Store and transport refrigerated (2°C – 8°C)","ua_46_11","false",null,null,null
"12","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.776","2024-09-20T11:52:26.779","100000073416","2","1","Зберігати в морозильній камері","Store in a freezer","ua_46_12","false",null,null,null
"13","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.781","2024-09-20T11:52:26.784","100000073417","3","1","Зберігати та транспортувати в замороженому вигляді","Store and transport frozen","ua_46_13","false",null,null,null
"14","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.786","2024-09-20T11:52:26.789","100000073418","4","1","Не охолоджувати та не заморожувати","Do not refrigerate or freeze","ua_46_14","false",null,null,null
"15","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.791","2024-09-20T11:52:26.793","100000073419","4","1","Не охолоджувати","Do not refrigerate","ua_46_15","false",null,null,null
"16","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.795","2024-09-20T11:52:26.798","100000073420","3","1","Не заморожувати","Do not freeze","ua_46_16","false",null,null,null
"17","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.800","2024-09-20T11:52:26.803","100000073421","2","1","Зберігати в оригінальній упаковці","Store in the original package","ua_46_17","false",null,null,null
"18","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.805","2024-09-20T11:52:26.807","100000073422","3","1","Тримати контейнер щільно закритим","Keep the container tightly closed","ua_46_18","false",null,null,null
"19","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.809","2024-09-20T11:52:26.812","100000073423","3","1","Зберігати контейнер у зовнішній картонній упаковці","Keep the container in the outer carton","ua_46_19","false",null,null,null
"20","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.814","2024-09-20T11:52:26.817","100000073424","3","1","Цей лікарський засіб не потребує особливих умов зберігання","This medicinal product does not require any special storage conditions","ua_46_20","false",null,null,null
"21","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.819","2024-09-20T11:52:26.822","100000073425","3","1","Цей лікарський засіб не вимагає особливих температурних умов зберігання","This medicinal product does not require any special temperature storage conditions","ua_46_21","false",null,null,null
"22","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.824","2024-09-20T11:52:26.829","100000073426","4","1","для захисту від світла","in order to protect from light","ua_46_22","false",null,null,null
"23","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.831","2024-09-20T11:52:26.834","100000073427","4","1","для захисту від вологи","in order to protect from moisture","ua_46_23","false",null,null,null
"24","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.836","2024-09-20T11:52:26.839","100000073428","4","1","Берегти від морозу","Protect from frost","ua_46_24","false",null,null,null
"25","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.842","2024-09-20T11:52:26.844","100000073429","5","1","Зберігати в оригінальній упаковці","Store in the original container","ua_46_25","false",null,null,null
"26","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.847","2024-09-20T11:52:26.849","100000073430","7","1","Берегти від світла","Protect from light","ua_46_26","false",null,null,null
"27","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.851","2024-09-20T11:52:26.854","100000073431","2","1","Зберігати в сухому місці","Store in a dry place","ua_46_27","false",null,null,null
"28","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.856","2024-09-20T11:52:26.859","100000073432","5","1","Берегти від прямих сонячних променів","Protect from direct sunlight","ua_46_28","false",null,null,null
"29","null","null","1.0","SpecialPrecautionsForStorage","2024-09-20T11:52:26.861","2024-09-20T11:52:26.863","100000073433","5","1","Цей ветеринарний лікарський засіб не потребує особливих умов зберігання","This veterinary medicinal product does not require any special storage conditions","ua_46_29","false",null,null,null
