no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","BasicDoseForm","2023-10-10T23:16:31.658","2024-09-23T14:42:37.529","200000003234","79","1","Рослинний матеріал (необроблений)","Herbal material (unprocessed)","ua_6_1","false",null,null,"Тип твердої лікарської форми, що складається з цілих, подрібнених або фрагментованих рослин або частин рослин (включаючи водорості, гриби, лишайники) у необробленому стані, які можуть бути висушеними або свіжими. Чаї, а також препарати, які оброблені або виготовлені у вигляді капсул, гранул, порошків тощо, виключаються."
"2","null","null","1.0","BasicDoseForm","2023-10-10T23:16:32.847","2024-09-23T14:42:37.575","200000002091","81","1","Льодяник","Lozenge","ua_6_2","false",null,null,"Тип твердої лікарської форми, що складається з твердої маси, утвореної шляхом формування або пресування, призначеної для повільного розчинення або розпаду в ротовій порожнині при розсмоктуванні."
"3","null","null","1.0","BasicDoseForm","2023-10-10T23:16:33.100","2024-09-23T14:42:37.580","200000002092","81","1","Ліофілізат","Lyophilisate","ua_6_3","false",null,null,"Тип твердої лікарської форми, що складається з порошку або диска, утвореного шляхом ліофільного висушування рідкого або напівтвердого препарату. Коли йдеться про порошок, використання цього терміну обмежується ветеринарними препаратами."
"4","null","null","1.0","BasicDoseForm","2023-10-10T23:16:33.338","2024-09-23T14:42:37.583","200000002093","81","1","Пастилка","Pastille","ua_6_4","false",null,null,"Тип твердої лікарської форми, що складається з м'якої, гнучкої маси, утвореної шляхом лиття, призначеної для повільного розчинення або розпаду в ротовій порожнині при розсмоктуванні."
"5","null","null","1.0","BasicDoseForm","2023-10-10T23:16:33.542","2024-09-23T14:42:37.587","200000002094","82","1","Патч","Patch","ua_6_5","false",null,null,"Тип твердої лікарської форми, що складається з гнучкого препарату з адгезивним шаром і резервуаром з діючою речовиною(ами), який зазвичай знаходиться за напівпроникною мембраною. Пластирі виключаються."
"6","null","null","1.0","BasicDoseForm","2023-10-10T23:16:33.744","2024-09-23T14:42:37.591","200000002095","81","1","Пелети","Pellets","ua_6_6","false",null,null,"Тип твердої лікарської форми, що складається зазвичай із циліндричних мас, сформованих шляхом екструзії."
"7","null","null","1.0","BasicDoseForm","2023-10-10T23:16:34.049","2024-09-23T14:42:37.595","200000002096","82","1","Песарій","Pessary","ua_6_7","false",null,null,"Тип твердої лікарської форми, що складається з матеріалу, який зазвичай має яйцеподібну форму і формується шляхом лиття, відповідного об'єму та консистенції для введення у піхву, де він розчиняється, диспергується або плавиться."
"8","null","null","1.0","BasicDoseForm","2023-10-10T23:16:34.877","2024-09-23T14:42:37.599","200000002097","81","1","Пігулки","Pillules","ua_6_8","false",null,null,"Тип твердої лікарської форми, що складається з невеликих сфероїдів, які є досить стійкими, щоб витримувати маніпуляції з ними, використовується в гомеопатичній медицині."
"9","null","null","1.0","BasicDoseForm","2023-10-10T23:16:35.382","2024-09-23T14:42:37.603","200000002098","81","1","Пластир","Plaster","ua_6_9","false",null,null,"Тип твердої лікарської форми, що складається з гнучкого препарату з адгезивним шаром, що містить діючу речовину(и). Патчі виключені."
"10","null","null","1.0","BasicDoseForm","2023-10-10T23:16:35.698","2024-09-23T14:42:37.606","200000002099","81","1","Порошок","Powder","ua_6_10","false",null,null,"Тип твердої лікарської форми, що складається з сухих, дрібнодисперсних, сипучих частинок або їхніх ліофілізованих препаратів."
