no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","IntendedSite","2023-10-11T12:35:14.633","2024-09-23T14:16:17.403","200000002028","78","1","Ендоцервікально","Endocervical","ua_17_1","false",null,null,"Стосується шийки матки, як запланованого місця введення."
"2","null","null","1.0","IntendedSite","2023-10-11T12:35:14.655","2024-09-23T14:16:17.440","200000002029","78","1","Шлунковий","Gastric","ua_17_2","false",null,null,"Стосується шлунка, як запланованого місця введення, коли пряме введення досягається за допомогою відповідного пристрою."
"3","null","null","1.0","IntendedSite","2023-10-11T12:35:14.656","2024-09-23T14:16:17.443","200000002030","78","1","Шлунково-кишковий","Gastroenteral","ua_17_3","false",null,null,"Стосується шлунка або дванадцятипалої кишки, як запланованого місця введення, коли пряме введення досягається за допомогою відповідного пристрою."
"4","null","null","1.0","IntendedSite","2023-10-11T12:35:14.658","2024-09-23T14:16:17.447","200000002031","78","1","Кишковий","Intestinal","ua_17_4","false",null,null,"Стосується кишечника (дванадцятипалої кишки, порожньої кишки, клубової кишки, товстої кишки), як запланованого місця введення, коли пряме введення досягається за допомогою відповідного пристрою."
"5","null","null","1.0","IntendedSite","2023-10-11T12:35:14.659","2024-09-23T14:16:17.450","200000002032","78","1","Внутрішньоочеревинний","Intraperitoneal","ua_17_5","false",null,null,"Стосується черевної порожнини, як запланованого місця введення."
"6","null","null","1.0","IntendedSite","2023-10-11T12:35:14.661","2024-09-23T14:16:17.454","200000002033","78","1","Очноносовий","Oculonasal","ua_17_6","false",null,null,"Стосується очей і ніздрів птаха, як запланованого місця введення."
"7","null","null","1.0","IntendedSite","2023-10-11T12:35:14.662","2024-09-23T14:16:17.457","200000002054","78","1","Вушний","Auricular","ua_17_7","false",null,null,"Стосується вух, як запланованого місця введення, зазвичай, якщо лікарський засіб призначений для дії в слуховому проході (зовнішньому слуховому проході)."
"8","null","null","1.0","IntendedSite","2023-10-11T12:35:14.663","2024-09-23T14:16:17.461","200000002055","78","1","Шкірний","Cutaneous","ua_17_8","false",null,null,"Стосується шкіри або її придатків (наприклад, волосся, нігтів) як запланованого місця застосування, якщо лікарський засіб призначений для місцевої дії на або всередині шкіри або придатка."
"9","null","null","1.0","IntendedSite","2023-10-11T12:35:14.664","2024-09-23T14:16:17.465","200000002056","78","1","Зубний","Dental","ua_17_9","false",null,null,"Стосується зубів як запланованого місця застосування, у тому числі якщо, лікарський засіб призначений для дії на поверхню зуба, всередині зуба або навколо зуба."
"10","null","null","1.0","IntendedSite","2023-10-11T12:35:14.666","2024-09-23T14:16:17.469","200000002057","78","1","Навколишній","Environmental","ua_17_10","false",null,null,"Стосується середовища, в якому знаходиться мішень лікарського засобу, як заплановаване місце введення, напр. робочий об’єм води або повітря; зазвичай препарат диспергується в середовищі, а потім поглинається суб’єктом."
"11","null","null","1.0","IntendedSite","2023-10-11T12:35:14.667","2024-09-23T14:16:17.472","200000002058","78","1","Екстракорпоральний","Extracorporeal","ua_17_11","false",null,null,"Стосується речовини або тканини тіла як запланованого місця застосування після видалення з організму для обробки лікарським засобом і подальшого повернення в організм."
"12","null","null","1.0","IntendedSite","2023-10-11T12:35:14.669","2024-09-23T14:16:17.475","200000002059","78","1","Внутрішньогрудний","Intramammary","ua_17_12","false",null,null,"Стосується органів, що виробляють молоко (молочні залози) самки ссавця, як запланованого місця введення, для опису ветеринарних лікарських засобів, які вводяться через канал соска."
