no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.875","manufacture","null","1","Виробництво","Manufacture","ua_64_1","false","null","null","null"
"2","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.877","clinicalTrial","null","1","Клінічні дослідження","Clinical trial","ua_64_2","false","null","null","null"
"3","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.880","contractResearch","null","1","Контрактні дослідження","Contract research","ua_64_3","false","null","null","null"
"4","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.883","preclinicalTrial","null","1","Перед-клінічні дослідження","Pre-clinical trial","ua_64_4","false","null","null","null"
"5","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.886","distribution","null","1","Збут","Distribution","ua_64_5","false","null","null","null"
"6","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.889","administration","null","1","Адміністрація","Administration","ua_64_6","false","null","null","null"
"7","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.892","pharmacovigilance","null","1","Фармаконагляд","Pharmacovigilance","ua_64_7","false","null","null","null"
"8","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.895","representative","null","1","Представництво","Representative","ua_64_8","false","null","null","null"
"9","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.898","branch","null","1","Філія","Branch","ua_64_9","false","null","null","null"
"10","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.898","200000017729","null","1","Контактна адреса","Contact Location","ua_64_10","false","null","null","null"
"11","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.898","220000000032","null","1","Орган влади з регулювання лікарських засобів","Medicines Regulatory Authority","ua_64_11","false","null","null","null"
"12","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.898","220000000033","null","1","Виробництво","Manufacturer","ua_64_12","false","null","null","null"
"13","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.898","220000000034","null","1","Власник реєстраційного посвідчення","Marketing authorisation holder","ua_64_13","false","null","null","null"
"14","null","null","1.0","LocationRole","null","2024-01-08T15:05:23.898","220000000035","null","1","Власник шаблон-файлу","Master File Holder","ua_64_14","false","null","null","null"
