no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","Material","2023-10-10T18:37:21.460","2024-09-23T14:59:14.238","200000003227","3","1","Силіконова олія","Silicone oil","ua_25_1","false",null,null,null
"2","null","null","1.0","Material","2023-10-10T18:37:21.463","2024-09-23T14:59:14.242","200000003218","3","1","Поліолефін","Polyolefin","ua_25_2","false",null,null,null
"3","null","null","1.0","Material","2023-10-10T18:37:21.466","2024-09-23T14:59:14.245","200000003202","3","1","Епоксифенол","Epoxyphenol","ua_25_3","false",null,null,null
"4","null","null","1.0","Material","2023-10-10T18:37:21.468","2024-09-23T14:59:14.249","200000003219","3","1","Поліпропілен","PolyPropylene","ua_25_4","false","Поліпропілен","PP",null
"5","null","null","1.0","Material","2023-10-10T18:37:21.470","2024-09-23T14:59:14.252","200000003203","3","1","Скло","Glass","ua_25_5","false",null,null,null
"6","null","null","1.0","Material","2023-10-10T18:37:21.472","2024-09-23T14:59:14.256","200000003222","3","1","Полівініл хлорид","PolyVinyl Chloride","ua_25_6","false","Полівініл хлорид","PVC",null
"7","null","null","1.0","Material","2023-10-10T18:37:21.475","2024-09-23T14:59:14.259","200000003223","4","1","Пластифікований полівінілхлорид","Plasticised PolyVinyl Chloride","ua_25_7","false","Пластифікований полівінілхлорид","PPVC",null
"8","null","null","1.0","Material","2023-10-10T18:37:21.478","2024-09-23T14:59:14.262","200000003200","4","1","Алюміній","Aluminium","ua_25_8","false","Алюміній","Alu",null
"9","null","null","1.0","Material","2023-10-10T18:37:21.480","2024-09-23T14:59:14.266","200000003208","3","1","Пластик","Plastic","ua_25_9","false",null,null,null
"10","null","null","1.0","Material","2023-10-10T18:37:21.482","2024-09-23T14:59:14.269","200000003204","3","1","Скло типу I","Glass type I","ua_25_10","false",null,null,null
"11","null","null","1.0","Material","2023-10-10T18:37:21.485","2024-09-23T14:59:14.272","200000003207","3","1","Папір","Paper","ua_25_11","false",null,null,null
"12","null","null","1.0","Material","2023-10-10T18:37:21.487","2024-09-23T14:59:14.274","200000003213","3","1","Поліестер","Polyester","ua_25_12","false",null,null,null
"13","null","null","1.0","Material","2023-10-10T18:37:21.489","2024-09-23T14:59:14.277","200000003225","3","1","Полівініліденхлорид","PolyVinylidene Chloride","ua_25_13","false","Полівініліденхлорид","PVdC",null
"14","null","null","1.0","Material","2023-10-10T18:37:21.491","2024-09-23T14:59:14.280","200000003215","3","1","Поліетилен високої щільності","High Density PolyEthylene","ua_25_14","false","Поліетилен високої щільності","HDPE",null
"15","null","null","1.0","Material","2023-10-10T18:37:21.494","2024-09-23T14:59:14.282","200000003226","3","1","Гума","Rubber","ua_25_15","false",null,null,null
"16","null","null","1.0","Material","2023-10-10T18:37:21.497","2024-09-23T14:59:14.285","200000003209","3","1","Поліамід","PolyAmide","ua_25_16","false","Поліамід","PA",null
"17","null","null","1.0","Material","2023-10-10T18:37:21.500","2024-09-23T14:59:14.287","200000003206","3","1","Скло типу III","Glass type III","ua_25_17","false",null,null,null
"18","null","null","1.0","Material","2023-10-10T18:37:21.502","2024-09-23T14:59:14.290","200000003211","3","1","Полікарбонат","PolyCarbonate","ua_25_18","false","Полікарбонат","PC",null
"19","null","null","1.0","Material","2023-10-10T18:37:21.505","2024-09-23T14:59:14.293","200000003201","3","1","Циклічний олефіновий сополімер","Cyclic Olefin Copolymer","ua_25_19","false","Циклічний олефіновий сополімер","COC",null
"20","null","null","1.0","Material","2023-10-10T18:37:21.508","2024-09-23T14:59:14.295","200000003216","3","1","Поліетилен низької щільності","Low Density PolyEthylene","ua_25_20","false","Поліетилен низької щільності","LDPE",null
"21","null","null","1.0","Material","2023-10-10T18:37:21.511","2024-09-23T14:59:14.298","200000003210","3","1","Орієнтований поліамід","Orientated PolyAmide","ua_25_21","false","Орієнтований поліамід","OPA",null
"22","null","null","1.0","Material","2023-10-10T18:37:21.514","2024-09-23T14:59:14.300","200000003205","3","1","Скло типу II","Glass type II","ua_25_22","false",null,null,null
"23","null","null","1.0","Material","2023-10-10T18:37:21.518","2024-09-23T14:59:14.303","200000003221","3","1","Полівінілацетат","PolyVinyl Acetate","ua_25_23","false","Полівінілацетат","PVAc",null
"24","null","null","1.0","Material","2023-10-10T18:37:21.522","2024-09-23T14:59:14.305","200000003229","3","1","Сталь","Steel","ua_25_24","false",null,null,null
"25","null","null","1.0","Material","2023-10-10T18:37:21.525","2024-09-23T14:59:14.308","200000003224","3","1","Непластифікований полівінілхлорид / непластифікований полівінілхлорид","Non-plasticised PolyVinyl Chloride / Unplasticised PolyVinyl Chloride","ua_25_25","false","Непластифікований полівінілхлорид","UPVC",null
