no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:47.988","2024-10-18T13:50:31.101","200000017120","2","4","Гранули в подвійній тубі","Granules in double tube container","ua_33_1","false",null,null,"Гомеопатичний лікарський засіб, що складається з гранул, представлених у контейнері з подвійною тубою."
"2","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:47.998","2024-10-18T13:50:31.107","200000017694","64","1","Оромукозний мішечок","Oromucosal pouch","ua_33_2","false",null,null,"Твердий однодозовий препарат, що складається з невеликого пакетика, виготовленого з відповідного матеріалу, який містить препарат у вигляді порошку; він призначений для розміщення в ротовій порожнині для отримання системного або місцевого ефекту шляхом доставки активної речовин(и) протягом певного періоду часу, після чого його видаляють."
"3","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.005","2024-10-18T13:50:31.111","100000136319","77","3","Краплі нашкірні/вушні суспензія","Cutaneous/ear drops suspension","ua_33_3","false",null,null,null
"4","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.011","2024-10-18T13:50:31.115","100000136324","95","1","Ліофілізат для застосування в питній воді","Lyophilisate for use in drinking water","ua_33_4","false",null,null,"Твердий препарат для ветеринарного використання, що складається з ліофілізованого порошку, призначеного для розчинення у питній воді для тварин. Якщо альтернативні методи введення окремим тваринам також ліцензовані, спосіб введення чітко описано в інформації про продукт."
"5","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.019","2024-10-18T13:50:31.118","100000136557","4","5","Екстракорпоральний розчин","Extracorporeal solution","ua_33_5","false",null,null,null
"6","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.025","2024-10-18T13:50:31.122","100000136559","5","4","Ліофілізат для суспензії для введення спрею","Lyophilisate for suspension for spray administration","ua_33_6","false",null,null,null
"7","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.030","2024-10-18T13:50:31.126","100000136562","7","3","Порошок для суспензії для інфузії","Powder for suspension for infusion","ua_33_7","false",null,null,null
"8","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.040","2024-10-18T13:50:31.130","200000017701","4","3","Ендотрахеопульмональна інстиляція","Endotracheopulmonary instillation","ua_33_8","false",null,null,null
"9","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.046","2024-10-18T13:50:31.133","200000017702","5","3","Піна","Foam","ua_33_9","false",null,null,null
"10","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.053","2024-10-18T13:50:31.137","200000017703","6","3","Порошок для суспензії","Powder for suspension","ua_33_10","false",null,null,null
"11","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.060","2024-10-18T13:50:31.141","200000017704","4","3","Порошок для суспензії для розчину","Powder for suspension for solution","ua_33_11","false",null,null,null
"12","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.066","2024-10-18T13:50:31.144","200000017705","6","3","Розчин для зовнішнього застосування","Solution for external use","ua_33_12","false",null,null,null
"13","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.072","2024-10-18T13:50:31.148","200000017706","4","3","Стерильний концентрат","Sterile concentrate","ua_33_13","false",null,null,null
"14","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.079","2024-10-18T13:50:31.151","200000017700","4","3","Спрей для вух","Ear spray","ua_33_14","false",null,null,null
"15","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.085","2024-10-18T13:50:31.155","200000017726","3","3","Порошок для розчину","Powder for solution","ua_33_15","false",null,null,null
"16","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.090","2024-10-18T13:50:31.159","200000017727","3","3","Олія","Oil","ua_33_16","false",null,null,null
"17","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.096","2024-10-18T13:50:31.162","100000157838","81","1","Герметизуючий порошок","Sealant powder","ua_33_17","false",null,null,"Твердий стерильний препарат, що складається з одного або декількох порошків, у тому числі ліофілізованих, призначений для нанесення безпосередньо на передбачувану ділянку (наприклад, ураження) для утворення кровоспинного засобу та/або тканинного клею після контакту з відповідною рідиною (наприклад, кров'ю)."
"18","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.101","2024-10-18T13:50:31.166","200000017728","61","1","Просочений тампон для обробки шкіри","Impregnated cutaneous swab","ua_33_18","false",null,null,"Твердий препарат, що складається з частини абсорбуючого матеріалу, просоченого зазвичай рідким препаратом, призначений для нанесення на шкіру протягом обмеженого періоду часу одним або декількома витираючими рухами, і який може бути прикріплений до пристрою для нанесення, наприклад, палички. Просочена подушечка не включається."
"19","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.111","2024-10-18T13:50:31.169","200000017730","60","1","Песарій пролонгованої дії","Prolonged-release pessary","ua_33_19","false",null,null,"Твердий однодозовий препарат, зазвичай виготовлений шляхом формування, різної форми, зазвичай овальної, з об'ємом і консистенцією, прийнятними для введення у піхву для отримання місцевого ефекту. Містить одну або більше активних речовин, диспергованих або розчинених у відповідній основі, яка може бути розчинною або диспергованою у воді або може плавитися при температурі тіла. Вивільнення активної речовин(и) відбувається повільніше, ніж у песаріїв зі звичайним вивільненням. Пролонговане вивільнення досягається за рахунок спеціальної рецептури та/або методу виробництва."
"20","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.116","2024-10-18T13:50:31.173","100000162557","78","1","Концентрат для розчину для внутрішньоочного промивання","Concentrate for solution for intraocular irrigation","ua_33_20","false",null,null,"Рідкий стерильний препарат, призначений для розведення у зазначеній рідині для отримання розчину для внутрішньоочного промивання."
"21","null","null","2.0","PharmaceuticalDoseForm","2024-09-20T12:19:48.121","2024-10-18T13:50:31.177","100000162764","80","1","Порошок для розчину для лікування риб","Powder for solution for fish treatment","ua_33_21","false",null,null,"Порошок для приготування розчину, призначеного для лікування риб зануренням."
