no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","ProductCategory","2023-10-12T17:30:49.398","2024-09-23T16:14:53.712","100000155527","3","1","Лікарський засіб хімічного походження","Chemical Medicinal Product","ua_34_1","false","хімічний","chemical","Лікарський засіб, що містить хімічну речовину, напр. елементи, хімічні матеріали, що зустрічаються в природі, і хімічні засоби, отримані шляхом хімічних змін або синтезу."
"2","null","null","1.0","ProductCategory","2023-10-12T17:30:49.400","2024-09-23T16:14:53.751","100000155528","3","1","Імунологічний лікарський засіб","Immunological Medicinal Product","ua_34_2","false","імунологічний","immunological","Будь-який лікарський засіб, що складається з вакцин, токсинів, сироваток або продуктів-алергенів"
"3","null","null","1.0","ProductCategory","2023-10-12T17:30:49.401","2024-09-23T16:14:53.755","100000155529","2","1","Традиційний рослинний лікарський засіб","Traditional Herbal Medicinal Product","ua_34_3","false","традиційний","traditional","Рослинний лікарський засіб, який відповідає умовам, викладеним у статті 16a(1) Директиви 2001/83/ЄC."
"4","null","null","1.0","ProductCategory","2023-10-12T17:30:49.403","2024-09-23T16:14:53.758","100000155530","5","1","Біологічний лікарський засіб","Biological Medicinal Product","ua_34_4","false","біологічний","biological","Біологічний лікарський засіб - це лікарський засіб, активною речовиною якого є біологічна речовина. Біологічна речовина - це речовина, яка виробляється або видобувається з біологічного джерела і для характеристики та визначення якості якої необхідне поєднання фізико-хімічних та біологічних випробувань, а також процесу виробництва та його контролю. Цей термін слід використовувати лише тоді, коли не застосовуються більш специфічні терміни, такі як `імунологічний лікарський засіб`, `лікарський засіб, отриманий з людської крові або людської плазми` тощо. Translated with DeepL.com (free version)"
"5","null","null","1.0","ProductCategory","2023-10-12T17:30:49.404","2024-09-23T16:14:53.762","100000155546","3","1","Лікарський засіб рослинного походження","Herbal Medicinal Product","ua_34_5","false","рослинний","herbal","Будь-який лікарський засіб, що виключно містить як активні інгредієнти одну чи більше рослинних речовин або один чи більше рослинних препаратів, або одну чи більше таких рослинних речовин у комбінації з одним чи кількома такими рослинними препаратами."
"6","null","null","1.0","ProductCategory","2023-10-12T17:30:49.405","2024-09-23T16:14:53.765","100000155547","2","1","Лікарський засіб, отриманий з крові або плазми людини","Medicinal Product derived from Human Blood or Human Plasma","ua_34_6","false","кров","blood","Лікарські засоби на основі компонентів крові, виготовлені промисловим способом державними чи приватними підприємствами, до таких лікарських засобів відносяться, зокрема, альбумін, фактори згортання та імуноглобуліни людського походження."
"7","null","null","1.0","ProductCategory","2023-10-12T17:30:49.406","2024-09-23T16:14:53.769","100000155548","3","1","Високотехнологічний лікарський засіб або Лікарський засіб передової терапії","Advanced Therapy Medicinal Product","ua_34_7","false","передова терапія","advanced therapy","Лікарський засіб, що визначений у статті 2 Регламенту (ЄС) № 1394/2007 Європейського Парламенту та Ради від 13 листопада 2007 року про лікарські засоби передової терапії."
"8","null","null","1.0","ProductCategory","2023-10-12T17:30:49.407","2024-09-23T16:14:53.772","100000155549","3","1","Гомеопатичний лікарський засіб","Homeopathic Medicinal Product","ua_34_8","false","гомеопатичний","homoepathic","Будь-який лікарський засіб, виготовлений з речовин, які називаються гомеопатичними розчинами, відповідно до гомеопатичної процедури виробництва, описаної в Європейській фармакопеї або, за її відсутності, у фармакопеях, які зараз офіційно використовуються в державах-членах. Гомеопатичний лікарський засіб може містити низку компонентів."
"9","null","null","1.0","ProductCategory","2023-10-12T17:30:49.409","2024-09-23T16:14:53.775","100000155550","3","1","Радіофармацевтичний лікарський засіб","Radiopharmaceutical Medicinal Product","ua_34_9","false","радіофармацевтичний","radiopharmaceutical","Будь-який лікарський засіб, який, готовий до використання, містить один або більше радіонуклідів (радіоактивних ізотопів), включених з лікувальною метою. Для цього тут будуть включені генератори радіонуклідів, набори та прекурсори радіонуклідів."
"10","null","null","1.0","ProductCategory","2023-10-12T17:30:49.410","2024-09-23T16:14:53.778","100000155551","4","1","Перелік А біологічних лікарських засобів","List A Biological Medicinal Product","ua_34_10","false","біотехнологічний","biotechnological","Лікарські засоби, що підпадають під дію Частини А Додатку до Регламенту (ЄЕС) № 2309/93, тобто біотехнологічні процеси (технологія рекомбінантної ДНК, контрольована експресія генів, що кодують біологічно активні білки в прокаріотах і еукаріотах, включаючи трансформовані клітини ссавців, гібридома і методи моноклональних антитіл). Ветеринарні лікарські засоби, в тому числі не отримані за допомогою біотехнологій, призначені, в першу чергу, для використання в якості підсилювачів продуктивності з метою сприяння росту тварин, що обробляються (лікуються), або для збільшення виходу продукції від тварин, що обробляються (лікуються)."
"11","null","null","1.0","ProductCategory","2024-09-23T16:14:53.781","2024-09-23T16:14:53.785","200000032229","2","1","Хімічний генеричний лікарський засіб","Chemical Generic Medicinal Product","ua_34_11","false",null,null,null
"12","null","null","1.0","ProductCategory","2024-09-23T16:14:53.787","2024-09-23T16:14:53.789","200000032241","2","1","Подібний біологічний лікарський засіб","Similar Biological Medicinal Product","ua_34_12","false","подібний біологічний (біосиміляр)","Similar biological",null
