no,PK,atc_parent,vsn,model,created_on,modified_on,source_term_id,source_vsn,status,item_ua,item_en,item_code,manual,term_short_ua,term_short_en,term_desc
"1","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.193","2023-11-14T17:34:33.897","220000000018","2","1","Біосиміляр","Biosimilar to","ua_35_1","false",null,null,null
"2","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.194","2023-11-14T17:34:33.907","220000000019","3","1","Дублікат","Duplicate of","ua_35_2","false",null,null,null
"3","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.195","2023-11-14T17:34:33.910","220000000020","2","1","Генерик","Generic of","ua_35_3","false",null,null,null
"4","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.197","2023-11-14T17:34:33.912","220000000021","2","1","Гібрид ","Hybrid of","ua_35_4","false",null,null,null
"5","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.198","2023-11-14T17:34:33.914","220000000022","3","1","Довідка про інформовану згоду","Informed consent reference","ua_35_5","false",null,null,null
"6","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.200","2023-11-14T17:34:33.901","220000000023","3","1","Подання дозволу на продаж","Marketing authorisation submission","ua_35_6","false",null,null,null
"7","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.201","2023-11-14T17:34:33.903","220000000024","3","1","Посилання на","Reference to","ua_35_7","false",null,null,null
"8","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.203","2023-11-14T17:34:33.905","220000000025","2","1","Повторне подання","Resubmission of","ua_35_8","false",null,null,null
"9","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.204","2023-11-14T17:34:33.916","200000016179","4","1","Паралельна торгівля","Parallel trade of","ua_35_9","false",null,null,"Ветеринарний лікарський засіб, який отримав дозвіл у державі-члені – джерелі та розповсюджується у державі-члені – країні призначення як ветеринарний лікарський засіб, що підлягає паралельному продажу (стаття 102 (1) Регламенту (ЄС) 2019/6"
"10","null","null","1.0","ProductCrossReferenceType","2023-10-13T16:20:57.205","2023-11-14T17:34:33.899","200000016180","4","1","Паралельна торгівля за посиланням","Parallel trade in reference of","ua_35_10","false",null,null,"Ветеринарний лікарський засіб, дозволений у державі-члені – країні призначення, який має спільне походження з ветеринарним лікарським засобом, дозволеним у державі-члені – джерелі (стаття 102 (1) Регламенту (ЄС) 2019/6)"
